Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,17T,18T,19T,14T,27T,20T,21T,24T,25T,26T,79T,41T,46T,72T,29T,30T,31T,32T,33T,34T,71T,77T,35T,36T,37T,38T,39T,40T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,44T,62T,63T,80T
2018_01_01,17.0,23.5,23.5,21.0,30.0,23.5,27.0,31.0,15,23.5,31.0,28.0,28.0,25.0,35.0,35.0,25.0,25.0,17.0,17.0,23.0,26.0,25.0,16.0,16.0,16.0,16.0,16.0,21.0,21.0,21.0,19.285714285714285,24.0,27.0,20.0,16.0,16.0,16.0,16.0,17.333333333333332,17.333333333333332,17.333333333333332,10.0,10.0,17.333333333333332,17.333333333333336,17.333333333333336,25.0,13.0,10.0,11.0,18,10.0
2018_01_02,25.0,28.0,28.0,26.0,33.0,28.0,30.0,37.0,17,28.0,33.0,33.0,33.0,33.0,45.0,45.0,30.5,30.5,21.0,21.0,35.0,31.0,30.5,20.0,20.0,20.0,20.0,20.0,27.0,27.0,27.0,24.285714285714285,29.0,28.0,28.0,17.0,17.0,17.0,17.0,20.22222222222222,20.22222222222222,20.222222222222225,15.0,15.0,20.222222222222225,20.222222222222225,20.222222222222225,28.0,15.666666666666666,15.0,13.0,19,13.0
2018_01_03,34.0,37.666666666666664,37.666666666666664,38.0,42.0,37.666666666666664,40.0,50.0,22,37.666666666666664,40.0,39.0,39.0,38.0,60.0,60.0,40.03333333333333,40.03333333333333,35.0,35.0,42.0,36.0,40.03333333333333,23.0,23.0,29.0,29.0,29.0,34.0,34.0,34.0,31.571428571428573,32.0,28.0,16.0,19.0,19.0,19.0,19.0,20.555555555555557,20.555555555555554,20.555555555555557,18.0,18.0,20.555555555555557,20.555555555555557,20.555555555555554,29.0,14.666666666666666,10.0,16.0,18,11.0
2018_01_04,41.0,41.166666666666664,41.166666666666664,39.0,45.0,41.166666666666664,45.0,53.0,24,41.166666666666664,51.0,53.0,53.0,55.0,79.0,79.0,47.33333333333333,47.333333333333336,36.0,36.0,49.0,44.0,47.33333333333334,20.0,20.0,37.0,37.0,37.0,45.0,45.0,45.0,41.42857142857143,44.0,30.0,21.0,20.0,20.0,20.0,20.0,22.555555555555557,22.555555555555554,22.555555555555557,20.0,20.0,22.555555555555557,22.555555555555557,22.555555555555554,32.0,14.0,11.0,11.0,20,12.0
2018_01_05,42.0,47.0,47.0,51.0,53.0,47.0,51.0,58.0,27,47.0,59.0,57.5,57.5,56.0,72.0,72.0,51.65,51.650000000000006,47.0,47.0,48.0,47.0,51.65,36.0,36.0,55.0,55.0,55.0,64.0,64.0,64.0,58.0,49.0,23.0,22.0,20.0,20.0,20.0,20.0,22.444444444444443,22.444444444444446,22.444444444444443,20.0,20.0,22.444444444444443,22.444444444444443,22.444444444444446,37.0,17.666666666666668,14.0,17.0,22,12.0
2018_01_06,46.0,41.833333333333336,41.833333333333336,42.0,38.0,41.833333333333336,48.0,52.0,25,41.833333333333336,54.0,57.0,57.0,60.0,49.0,49.0,48.81666666666667,48.81666666666667,61.0,61.0,52.0,58.0,48.81666666666667,35.0,35.0,46.0,46.0,46.0,68.0,68.0,68.0,55.857142857142854,49.0,30.0,39.0,22.0,22.0,22.0,22.0,25.88888888888889,25.888888888888893,25.88888888888889,18.0,18.0,25.888888888888886,25.88888888888889,25.88888888888889,40.0,15.333333333333334,13.0,13.0,20,14.0
2018_01_07,8.0,20.833333333333332,20.833333333333332,26.0,42.0,20.833333333333332,19.0,20.0,10,20.833333333333332,15.0,16.5,16.5,18.0,18.0,18.0,22.266666666666666,22.266666666666666,41.0,41.0,16.0,37.0,22.266666666666666,31.0,31.0,17.0,17.0,17.0,42.0,42.0,42.0,28.714285714285715,24.0,31.0,40.0,29.0,29.0,29.0,29.0,29.444444444444443,29.444444444444446,29.444444444444446,22.0,22.0,29.444444444444443,29.444444444444443,29.444444444444446,34.0,11.333333333333334,10.0,9.0,15,12.0
2018_01_08,8.0,17.166666666666668,17.166666666666668,10.0,43.0,17.166666666666668,16.0,16.0,10,17.166666666666668,15.0,18.0,18.0,21.0,10.0,10.0,18.283333333333335,18.283333333333335,34.0,34.0,12.0,22.0,18.283333333333335,35.0,35.0,16.0,16.0,16.0,27.0,27.0,27.0,22.714285714285715,30.0,26.0,35.0,45.0,45.0,45.0,45.0,36.55555555555556,36.55555555555556,36.55555555555555,28.0,28.0,36.55555555555555,36.55555555555555,36.55555555555555,32.0,11.333333333333334,13.0,6.0,15,8.0
2018_01_09,8.0,16.833333333333332,16.833333333333332,22.0,14.0,16.833333333333332,22.0,21.0,14,16.833333333333332,19.0,18.0,18.0,17.0,12.0,12.0,20.666666666666664,20.666666666666668,46.0,46.0,22.0,35.0,20.66666666666667,30.0,30.0,23.0,23.0,23.0,20.0,20.0,20.0,24.142857142857142,40.0,24.0,24.0,26.0,26.0,26.0,26.0,24.666666666666668,24.666666666666668,24.66666666666667,20.0,20.0,24.666666666666668,24.666666666666668,24.666666666666668,30.0,11.333333333333334,9.0,6.0,19,9.0
2018_01_10,10.0,12.5,12.5,10.0,9.0,12.5,17.0,21.0,8,12.5,21.0,20.5,20.5,20.0,26.0,26.0,18.7,18.7,29.0,29.0,26.0,31.0,18.7,15.0,15.0,18.0,18.0,18.0,22.0,22.0,22.0,22.0,34.0,22.0,23.0,29.0,29.0,29.0,29.0,24.88888888888889,24.88888888888889,24.88888888888889,19.0,19.0,24.888888888888886,24.88888888888889,24.88888888888889,25.0,12.0,8.0,10.0,18,8.0
