Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,27T,24T,26T,79T,46T,30T,32T,77T,35T,36T,40T,75T,76T,44T,62T,63T,80T
2017_01_01,33.0,21.0,28.0,29.0,34.0,29.0,29.0,28.0,28.0,27.0,17.0,24.0,27.25,,17.0,21.0,18.0,30.0,30.0,21.0,16.0,20.0,7.0,7.0,7.0,
2017_01_02,28.0,19.0,27.0,26.5,32.0,26.5,26.5,26.0,26.0,25.0,17.0,25.0,25.375,,21.0,24.0,15.0,11.333333333333334,11.333333333333334,11.0,5.0,18.0,9.0,9.0,9.0,
2017_01_03,31.0,19.0,32.0,29.0,34.0,29.0,29.0,28.0,28.0,36.0,22.0,28.0,28.75,,15.0,19.0,19.0,13.0,13.0,12.0,4.0,21.0,6.0,6.0,6.0,
2017_01_04,37.0,21.0,34.0,32.25,37.0,32.25,32.25,28.0,28.0,49.0,32.0,35.0,33.145833333333336,37.0,22.0,24.0,21.0,19.0,19.0,10.0,2.0,18.0,5.0,5.0,5.0,
2017_01_05,45.0,29.0,40.0,39.75,45.0,39.75,39.75,34.0,34.0,48.0,34.0,39.0,38.9375,42.0,23.0,24.0,29.0,9.5,9.5,7.0,9.5,12.0,7.0,7.0,7.0,
2017_01_06,43.0,27.0,38.0,38.0,44.0,38.0,38.0,36.0,36.0,38.0,31.0,31.0,36.5,37.0,27.0,34.0,20.0,13.0,13.0,7.0,5.0,10.0,5.0,5.0,5.0,
2017_01_07,46.0,30.0,42.0,42.5,52.0,42.5,42.5,41.0,41.0,50.0,57.0,36.0,43.541666666666664,50.0,37.5,42.0,33.0,22.0,15.0,10.0,6.0,16.0,5.5,5.5,5.5,
2017_01_08,43.0,35.0,43.0,42.5,49.0,42.5,42.5,39.0,39.0,51.0,59.0,40.0,43.791666666666664,47.5,26.0,27.0,25.0,28.0,23.0,12.0,6.0,29.0,6.0,6.0,6.0,
2017_01_09,35.0,27.0,33.0,33.5,39.0,33.5,33.5,30.0,30.0,58.0,71.0,33.0,38.041666666666664,45.0,25.0,20.0,30.0,28.0,28.0,16.0,6.0,24.0,10.0,10.0,10.0,
2017_01_10,36.0,38.0,41.0,41.5,51.0,41.5,41.5,45.0,45.0,30.0,79.0,14.0,41.958333333333336,42.5,34.0,34.0,34.0,20.0,20.0,12.0,5.0,17.0,12.0,12.0,12.0,
2017_01_11,25.0,17.0,24.0,23.75,29.0,23.75,23.75,26.0,26.0,17.0,70.0,10.0,26.270833333333332,40.0,19.0,20.0,18.0,12.0,12.0,6.0,10.5,12.0,10.0,10.0,10.0,
