station_id,station_name,label
05T,กทม.,0
12T,กทม.,0
10T,กทม.,0
11T,กทม.,0
03T,กทม.,0
54T,กทม.,0
02T,กทม.,0
53T,กทม.,0
50T,กทม.,0
61T,กทม.,0
59T,กทม.,0
52T,กทม.,0
79T,จ.กาญจนบุรี,1
94T,จ.กำแพงเพชร,2
46T,จ.ขอนแก่น,3
60T,จ.ฉะเชิงเทรา,4
34T,จ.ชลบุรี,5
33T,จ.ชลบุรี,5
32T,จ.ชลบุรี,5
93T,จ.ตรัง,6
87T,จ.ตราด,7
76T,จ.ตาก,8
81T,จ.นครปฐม,9
88T,จ.นครพนม,10
47T,จ.นครราชสีมา,11
89T,จ.นครศรีธรรมราช,12
41T,จ.นครสวรรค์,13
22T,จ.นนทบุรี,14
13T,จ.นนทบุรี,14
62T,จ.นราธิวาส,15
75T,จ.น่าน,16
67T,จ.น่าน,16
101T,จ.บุรีรัมย์,17
20T,จ.ปทุมธานี,18
100T,จ.ประจวบคีรีขันธ์,19
103T,จ.ประจวบคีรีขันธ์,19
77T,จ.ปราจีนบุรี,20
21T,จ.พระนครศรีอยุธยา,21
70T,จ.พะเยา,22
95T,จ.พิจิตร,23
86T,จ.พิษณุโลก,24
43T,จ.ภูเก็ต,25
102T,จ.มุกดาหาร,26
78T,จ.ยะลา,27
63T,จ.ยะลา,27
31T,จ.ระยอง,28
30T,จ.ระยอง,28
74T,จ.ระยอง,28
29T,จ.ระยอง,28
28T,จ.ระยอง,28
26T,จ.ราชบุรี,29
99T,จ.ลพบุรี,30
40T,จ.ลำปาง,31
37T,จ.ลำปาง,31
39T,จ.ลำปาง,31
38T,จ.ลำปาง,31
68T,จ.ลำพูน,32
90T,จ.สกลนคร,33
44T,จ.สงขลา,34
80T,จ.สตูล,35
19T,จ.สมุทรปราการ,36
18T,จ.สมุทรปราการ,36
08T,จ.สมุทรปราการ,36
16T,จ.สมุทรปราการ,36
17T,จ.สมุทรปราการ,36
84T,จ.สมุทรสงคราม,37
27T,จ.สมุทรสาคร,38
14T,จ.สมุทรสาคร,38
24T,จ.สระบุรี,39
25T,จ.สระบุรี,39
71T,จ.สระแก้ว,40
85T,จ.สุพรรณบุรี,41
42T,จ.สุราษฏร์ธานี,42
96T,จ.สุโขทัย,43
82T,จ.หนองคาย,44
91T,จ.อุดรธานี,45
92T,จ.อุตรดิตถ์,46
98T,จ.อุทัยธานี,47
83T,จ.อุบลราชธานี,48
73T,จ.เชียงราย,49
57T,จ.เชียงราย,49
36T,จ.เชียงใหม่,50
35T,จ.เชียงใหม่,50
97T,จ.เพชรบูรณ์,51
72T,จ.เลย,52
69T,จ.แพร่,53
58T,จ.แม่ฮ่องสอน,54
