,Date,02T,05T
0,01_01,27.0,20
1,01_02,32.0,25
2,01_03,46.0,37
3,01_04,39.0,31
4,01_05,50.0,31
5,01_06,57.0,32
6,01_07,37.0,26
7,01_08,26.0,21
8,01_09,23.0,19
9,01_10,30.0,27
10,01_11,35.0,27
11,01_12,33.0,26
12,01_13,54.0,48
13,01_14,76.0,71
14,01_15,83.0,83
15,01_16,67.0,66
16,01_17,48.0,44
17,01_18,34.0,29
18,01_19,55.0,45
19,01_20,74.0,59
20,01_21,80.0,67
21,01_22,102.0,88
22,01_23,73.0,63
23,01_24,34.0,30
24,01_25,25.0,18
25,01_26,31.0,20
26,01_27,35.0,29
27,01_28,38.0,31
28,01_29,44.0,36
29,01_30,45.0,42
30,01_31,49.0,41
31,02_01,73.0,64
32,02_02,62.0,47
33,02_03,63.0,58
34,02_04,62.0,49
35,02_05,58.0,47
36,02_06,60.0,42
37,02_07,58.0,52
38,02_08,31.0,26
39,02_09,40.0,27
40,02_10,39.0,27
41,02_11,34.0,29
42,02_12,43.0,37
43,02_13,34.0,30
44,02_14,29.0,25
45,02_15,26.0,22
46,02_16,28.0,25
47,02_17,34.0,30
48,02_18,50.0,45
49,02_19,41.0,38
50,02_20,44.0,40
51,02_21,60.0,52
52,02_22,49.0,43
53,02_23,40.0,35
54,02_24,40.0,34
55,02_25,48.0,44
56,02_26,52.0,43
57,02_27,52.0,44
58,02_28,44.0,39
59,03_01,26.0,20
60,03_02,16.0,12
61,03_03,12.0,10
62,03_04,19.0,15
63,03_05,19.0,15
64,03_06,21.0,16
65,03_07,19.0,16
66,03_08,25.0,21
67,03_09,22.0,17
68,03_10,28.0,23
69,03_11,30.0,27
70,03_12,30.0,23
71,03_13,26.0,21
72,03_14,27.0,21
73,03_15,24.0,21
74,03_16,27.0,22
75,03_17,30.0,25
76,03_18,38.0,34
77,03_19,33.0,27
78,03_20,33.0,28
79,03_21,24.0,21
80,03_22,51.0,38
81,03_23,42.0,37
82,03_24,47.0,40
83,03_25,37.0,34
84,03_26,20.0,16
85,03_27,16.0,12
86,03_28,18.0,15
87,03_29,18.0,14
88,03_30,21.0,15
89,03_31,28.0,20
90,04_01,20.0,16
91,04_02,10.0,6
92,04_03,14.0,10
93,04_04,17.0,12
94,04_05,34.0,28
95,04_06,31.0,27
96,04_07,30.0,27
97,04_08,32.0,32
98,04_09,20.0,18
99,04_10,26.0,26
100,04_11,27.0,23
101,04_12,27.0,21
102,04_13,20.0,16
103,04_14,16.0,11
104,04_15,23.0,15
105,04_16,18.0,14
106,04_17,17.0,16
107,04_18,17.0,11
108,04_19,12.0,8
109,04_20,15.0,9
110,04_21,14.0,11
111,04_22,27.0,15
112,04_23,21.0,19
113,04_24,22.0,20
114,04_25,26.0,19
115,04_26,26.0,19
116,04_27,19.0,16
117,04_28,28.0,23
118,04_29,17.0,13
119,04_30,18.0,16
120,05_01,17.0,12
121,05_02,21.0,21
122,05_03,25.0,20
123,05_04,24.0,23
124,05_05,28.0,25
125,05_06,19.0,18
126,05_07,15.0,13
127,05_08,25.0,24
128,05_09,19.0,18
129,05_10,19.0,13
130,05_11,15.0,12
131,05_12,14.0,8
132,05_13,11.0,7
133,05_14,13.0,7
134,05_15,13.0,8
135,05_16,10.0,6
136,05_17,15.0,10
137,05_18,10.0,5
138,05_19,14.0,11
139,05_20,12.0,8
140,05_21,10.0,6
141,05_22,12.0,8
142,05_23,11.0,8
143,05_24,12.0,8
144,05_25,14.0,8
145,05_26,16.0,13
146,05_27,18.0,13
147,05_28,13.0,9
148,05_29,9.0,7
149,05_30,7.0,4
150,05_31,11.0,9
151,06_01,12.0,11
152,06_02,13.0,11
153,06_03,12.0,10
