,Date,02T,05T,10T,11T,12T,59T
0,01_01,27.0,20,22.0,25,22.0,20
1,01_02,32.0,25,26.0,27,27.0,23
2,01_03,46.0,37,33.0,41,40.0,38
3,01_04,39.0,31,32.0,36,38.0,36
4,01_05,50.0,31,31.0,32,44.0,28
5,01_06,57.0,32,36.0,36,39.0,32
6,01_07,37.0,26,30.0,30,31.0,25
7,01_08,26.0,21,24.0,23,24.0,21
8,01_09,23.0,19,13.0,20,22.0,18
9,01_10,30.0,27,20.0,25,26.0,25
10,01_11,35.0,27,20.0,31,29.0,28
11,01_12,33.0,26,19.0,29,28.0,26
12,01_13,54.0,48,32.0,49,46.0,47
13,01_14,76.0,71,40.0,68,64.0,69
14,01_15,83.0,83,56.0,79,71.0,74
15,01_16,67.0,66,36.5,59,59.0,57
16,01_17,48.0,44,48.0,41,42.0,38
17,01_18,34.0,29,32.0,30,29.0,27
18,01_19,55.0,45,50.0,47,43.0,44
19,01_20,74.0,59,60.0,59,51.0,59
20,01_21,80.0,67,57.0,68,57.0,62
21,01_22,102.0,88,70.0,75,77.0,79
22,01_23,73.0,63,33.5,61,56.0,60
23,01_24,34.0,30,29.0,29,27.0,27
24,01_25,25.0,18,27.0,26,18.0,22
25,01_26,31.0,20,29.0,26,21.0,24
26,01_27,35.0,29,30.0,32,25.0,30
27,01_28,38.0,31,31.0,33,31.0,29
28,01_29,44.0,36,38.0,40,35.0,35
29,01_30,45.0,42,38.0,43,42.0,40
30,01_31,49.0,41,40.0,44,40.0,41
31,02_01,73.0,64,50.0,55,48.0,58
32,02_02,62.0,47,46.0,53,52.0,53
33,02_03,63.0,58,48.0,54,54.0,47
34,02_04,62.0,49,44.0,46,46.0,45
35,02_05,58.0,47,43.0,51,45.0,49
36,02_06,60.0,42,39.0,43,39.0,42
37,02_07,58.0,52,43.0,53,47.0,52
38,02_08,31.0,26,28.0,32,26.0,27
39,02_09,40.0,27,23.5,38,28.0,32
40,02_10,39.0,27,30.0,32,24.0,26
41,02_11,34.0,29,39.0,31,27.0,23
42,02_12,43.0,37,42.0,36,34.0,27
43,02_13,34.0,30,46.0,37,30.0,31
44,02_14,29.0,25,34.0,29,24.0,23
45,02_15,26.0,22,34.0,26,22.0,22
46,02_16,28.0,25,36.0,28,22.0,22
47,02_17,34.0,30,42.0,35,27.0,27
48,02_18,50.0,45,49.0,46,40.0,40
49,02_19,41.0,38,42.0,41,34.0,34
50,02_20,44.0,40,45.0,42,36.0,34
51,02_21,60.0,52,57.0,58,54.0,50
52,02_22,49.0,43,54.0,48,41.0,42
53,02_23,40.0,35,46.0,40,32.0,34
54,02_24,40.0,34,44.0,41,33.0,35
55,02_25,48.0,44,50.0,44,42.0,38
56,02_26,52.0,43,48.0,48,44.0,45
57,02_27,52.0,44,48.0,46,44.0,44
58,02_28,44.0,39,46.0,44,37.0,38
59,03_01,26.0,20,30.0,25,23.0,23
60,03_02,16.0,12,21.0,14,14.0,13
61,03_03,12.0,10,21.0,14,13.0,10
62,03_04,19.0,15,29.0,22,17.0,16
63,03_05,19.0,15,27.0,19,15.0,15
64,03_06,21.0,16,30.0,19,22.0,16
65,03_07,19.0,16,29.0,20,24.0,16
66,03_08,25.0,21,32.0,25,27.0,21
67,03_09,22.0,17,34.0,24,18.0,19
68,03_10,28.0,23,42.0,28,24.0,25
69,03_11,30.0,27,42.0,36,30.0,29
70,03_12,30.0,23,41.0,29,25.0,25
71,03_13,26.0,21,39.0,29,24.0,26
72,03_14,27.0,21,34.0,27,21.0,22
73,03_15,24.0,21,34.0,25,20.0,20
74,03_16,27.0,22,36.0,27,25.0,23
75,03_17,30.0,25,39.0,30,28.0,28
76,03_18,38.0,34,40.0,40,34.0,33
77,03_19,33.0,27,25.0,32,28.0,29
78,03_20,33.0,28,29.0,32,27.0,28
79,03_21,24.0,21,25.0,26,21.0,21
80,03_22,51.0,38,38.0,42,37.0,41
81,03_23,42.0,37,37.0,38,36.0,35
82,03_24,47.0,40,46.0,45,40.0,43
83,03_25,37.0,34,40.0,40,33.0,33
84,03_26,20.0,16,20.0,21,15.0,17
85,03_27,16.0,12,17.0,16,17.0,12
86,03_28,18.0,15,18.0,20,18.0,15
87,03_29,18.0,14,19.0,24,18.0,14
88,03_30,21.0,15,19.0,23,21.0,17
89,03_31,28.0,20,25.0,28,24.0,23
