,Date,02T,05T,10T,11T,12T,59T,61T
0,01_01,27.0,20,22.0,25,22.0,20,25.0
1,01_02,32.0,25,26.0,27,27.0,23,26.0
2,01_03,46.0,37,33.0,41,40.0,38,29.0
3,01_04,39.0,31,32.0,36,38.0,36,28.0
4,01_05,50.0,31,31.0,32,44.0,28,24.0
5,01_06,57.0,32,36.0,36,39.0,32,25.0
6,01_07,37.0,26,30.0,30,31.0,25,23.0
7,01_08,26.0,21,24.0,23,24.0,21,20.0
8,01_09,23.0,19,13.0,20,22.0,18,18.0
9,01_10,30.0,27,20.0,25,26.0,25,22.0
10,01_11,35.0,27,20.0,31,29.0,28,23.0
11,01_12,33.0,26,19.0,29,28.0,26,22.0
12,01_13,54.0,48,32.0,49,46.0,47,31.0
13,01_14,76.0,71,40.0,68,64.0,69,42.0
14,01_15,83.0,83,56.0,79,71.0,74,49.0
15,01_16,67.0,66,36.5,59,59.0,57,48.0
16,01_17,48.0,44,48.0,41,42.0,38,33.0
17,01_18,34.0,29,32.0,30,29.0,27,25.0
18,01_19,55.0,45,50.0,47,43.0,44,34.0
19,01_20,74.0,59,60.0,59,51.0,59,45.0
20,01_21,80.0,67,57.0,68,57.0,62,56.0
21,01_22,102.0,88,70.0,75,77.0,79,63.0
22,01_23,73.0,63,33.5,61,56.0,60,57.0
23,01_24,34.0,30,29.0,29,27.0,27,34.0
24,01_25,25.0,18,27.0,26,18.0,22,30.0
25,01_26,31.0,20,29.0,26,21.0,24,31.0
26,01_27,35.0,29,30.0,32,25.0,30,34.0
27,01_28,38.0,31,31.0,33,31.0,29,35.0
28,01_29,44.0,36,38.0,40,35.0,35,39.0
29,01_30,45.0,42,38.0,43,42.0,40,39.0
30,01_31,49.0,41,40.0,44,40.0,41,42.0
31,02_01,73.0,64,50.0,55,48.0,58,52.0
32,02_02,62.0,47,46.0,53,52.0,53,46.0
33,02_03,63.0,58,48.0,54,54.0,47,48.0
34,02_04,62.0,49,44.0,46,46.0,45,45.0
35,02_05,58.0,47,43.0,51,45.0,49,44.0
36,02_06,60.0,42,39.0,43,39.0,42,40.0
37,02_07,58.0,52,43.0,53,47.0,52,46.0
38,02_08,31.0,26,28.0,32,26.0,27,32.0
39,02_09,40.0,27,23.5,38,28.0,32,38.0
40,02_10,39.0,27,30.0,32,24.0,26,28.0
41,02_11,34.0,29,39.0,31,27.0,23,25.0
42,02_12,43.0,37,42.0,36,34.0,27,26.0
43,02_13,34.0,30,46.0,37,30.0,31,29.0
44,02_14,29.0,25,34.0,29,24.0,23,25.0
45,02_15,26.0,22,34.0,26,22.0,22,23.0
46,02_16,28.0,25,36.0,28,22.0,22,23.0
47,02_17,34.0,30,42.0,35,27.0,27,27.0
48,02_18,50.0,45,49.0,46,40.0,40,32.0
49,02_19,41.0,38,42.0,41,34.0,34,28.0
50,02_20,44.0,40,45.0,42,36.0,34,31.0
51,02_21,60.0,52,57.0,58,54.0,50,42.0
52,02_22,49.0,43,54.0,48,41.0,42,40.0
53,02_23,40.0,35,46.0,40,32.0,34,32.0
54,02_24,40.0,34,44.0,41,33.0,35,29.0
55,02_25,48.0,44,50.0,44,42.0,38,32.0
56,02_26,52.0,43,48.0,48,44.0,45,33.0
57,02_27,52.0,44,48.0,46,44.0,44,34.0
58,02_28,44.0,39,46.0,44,37.0,38,31.0
