Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,17T,18T,19T,14T,27T,20T,21T,24T,25T,26T,29T,30T,31T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,44T,46T,62T,63T,57T,73T,58T,67T,75T,68T,69T,70T,71T,72T,76T,77T,79T,80T
2018-01-01,17.0,23.5,23.5,21.0,30.0,23.5,27.0,31.0,15,23.5,31.0,28.0,28.0,25.0,35.0,35.0,,,17.0,17.0,23.0,16.0,16.0,16.0,,,,27.0,20.0,16.0,16.0,16.0,16.0,,,10.0,16.0,11.0,18,,,,10.0,10.0,,,,,,25.0,24.0,26.0,10.0
2018-01-02,25.0,28.0,28.0,26.0,33.0,28.0,30.0,37.0,17,28.0,33.0,33.0,33.0,33.0,45.0,45.0,,,21.0,21.0,35.0,20.0,20.0,20.0,27.0,27.0,27.0,28.0,28.0,17.0,17.0,17.0,17.0,,,15.0,20.0,13.0,19,,,,15.0,15.0,,,,,,28.0,29.0,31.0,13.0
2018-01-03,34.0,37.666666666666664,37.666666666666664,38.0,42.0,37.666666666666664,40.0,50.0,22,37.666666666666664,40.0,39.0,39.0,38.0,60.0,60.0,,,35.0,35.0,42.0,29.0,29.0,29.0,34.0,34.0,34.0,28.0,16.0,19.0,19.0,19.0,19.0,,,10.0,23.0,16.0,18,,,,18.0,18.0,,,,,,29.0,32.0,36.0,11.0
2018-01-04,41.0,41.166666666666664,41.166666666666664,39.0,45.0,41.166666666666664,45.0,53.0,24,41.166666666666664,51.0,53.0,53.0,55.0,79.0,79.0,,,36.0,36.0,49.0,37.0,37.0,37.0,45.0,45.0,45.0,30.0,21.0,20.0,20.0,20.0,20.0,,,11.0,20.0,11.0,20,,,,20.0,20.0,,,,,,32.0,44.0,44.0,12.0
2018-01-05,42.0,47.0,47.0,51.0,53.0,47.0,51.0,58.0,27,47.0,59.0,57.5,57.5,56.0,72.0,72.0,,,47.0,47.0,48.0,55.0,55.0,55.0,64.0,64.0,64.0,23.0,22.0,20.0,20.0,20.0,20.0,,,14.0,36.0,17.0,22,,,,20.0,20.0,,,,,,37.0,49.0,47.0,12.0
2018-01-06,46.0,42.6,42.6,42.0,42.6,42.599999999999994,48.0,52.0,25,42.599999999999994,54.0,57.0,57.0,60.0,49.0,49.0,,,61.0,61.0,52.0,46.0,46.0,46.0,68.0,68.0,68.0,30.0,39.0,22.0,22.0,22.0,22.0,,,13.0,35.0,13.0,20,,,,18.0,18.0,,,,,,40.0,49.0,58.0,14.0
2018-01-07,8.0,16.6,16.599999999999998,26.0,16.599999999999998,16.599999999999998,19.0,20.0,10,16.599999999999998,15.0,16.5,16.5,18.0,18.0,18.0,,,41.0,41.0,16.0,17.0,17.0,17.0,,,,31.0,40.0,29.0,29.0,29.0,29.0,,,10.0,31.0,9.0,15,,,,22.0,22.0,,,,,,34.0,24.0,37.0,12.0
2018-01-08,8.0,12.0,12.0,10.0,12.0,12.0,16.0,16.0,10,12.0,15.0,18.0,18.0,21.0,10.0,10.0,,,34.0,34.0,12.0,16.0,16.0,16.0,,,,26.0,35.0,45.0,45.0,45.0,45.0,,,13.0,35.0,6.0,15,,,,28.0,28.0,,,,,,32.0,30.0,22.0,8.0
2018-01-09,8.0,16.833333333333332,16.833333333333332,22.0,14.0,16.833333333333332,22.0,21.0,14,16.833333333333332,19.0,18.0,18.0,17.0,12.0,12.0,,,46.0,46.0,22.0,23.0,23.0,23.0,,,,24.0,24.0,26.0,26.0,26.0,26.0,,,9.0,30.0,6.0,19,,,,20.0,20.0,,,,,,30.0,40.0,35.0,9.0
2018-01-10,10.0,12.5,12.5,10.0,9.0,12.5,17.0,21.0,8,12.5,21.0,20.5,20.5,20.0,26.0,26.0,,,29.0,29.0,26.0,18.0,18.0,18.0,,,,22.0,23.0,29.0,29.0,29.0,29.0,,,8.0,15.0,10.0,18,,,,19.0,19.0,,,,,,25.0,,31.0,8.0
