Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,21T,24T,25T,26T,28T,29T,30T,31T,74T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,78T,57T,73T,58T,67T,75T,68T,69T,70T,71T,72T,76T,77T,79T,80T,81T
2019-01-01,23.666666666666668,15.0,20.0,22.0,23.666666666666668,23.0,23.66666666666667,25.0,22.0,28,27,31.0,28.0,21.5,15.0,19.0,24,23.0,23.0,21.0,21.0,18.0,12.0,14.0,15.0,29.0,15.0,14.0,15.0,16.0,15.0,19.0,16.0,15,26,27.0,16.0,13.0,7.0,17.0,20.0,19.0,,,24.0,,,19.0,27.0,27.0,10.0,11.0,14.0,15,6.0,26.0,19.0,17.0,12.0,11.0,28.0,18.0,23.0,14,
2019-01-02,25.666666666666668,21.0,26.0,21.0,25.666666666666668,23.0,25.66666666666667,25.0,25.0,30,30,30.0,34.0,27.5,22.0,26.0,28,23.0,23.0,26.0,26.0,19.0,14.0,15.0,20.0,32.0,20.5,20.0,20.5,21.0,20.5,21.0,17.0,19,21,17.0,15.0,14.0,7.0,15.0,24.0,18.0,,,27.0,,,19.0,28.0,28.0,10.0,11.0,10.0,11,6.0,27.0,20.0,14.0,14.0,15.0,25.0,20.0,35.0,21,
2019-01-03,28.666666666666668,24.0,26.0,25.0,28.666666666666668,24.0,28.66666666666667,29.0,28.0,34,33,35.0,35.0,30.75,26.0,29.0,33,32.0,32.0,37.0,37.0,22.0,21.0,24.0,19.0,36.0,25.0,25.0,25.0,25.0,25.0,27.0,27.0,25,21,16.0,15.0,12.0,7.0,15.0,35.0,24.0,,,24.0,,,10.0,15.0,15.0,13.0,14.0,6.0,11,8.0,30.0,13.0,13.0,13.0,17.0,39.0,23.0,39.0,16,
2019-01-04,32.8,27.0,32.0,29.0,32.800000000000004,28.0,32.0,33.0,31.0,37,39,40.0,39.0,34.5,30.0,30.0,39,33.0,33.0,36.0,48.0,27.0,24.0,34.0,21.0,53.0,29.5,28.0,29.5,31.0,29.5,29.0,26.0,25,20,16.0,16.0,13.0,9.0,14.0,34.0,16.0,,,30.0,,,9.0,10.0,10.0,14.0,11.0,4.0,14,8.0,30.0,18.0,15.0,19.0,15.0,34.0,24.0,45.0,10,
2019-01-05,40.1,33.0,37.0,36.0,40.1,35.0,39.0,43.0,34.0,46,51,47.0,48.0,41.75,38.0,38.0,43,45.0,45.0,45.0,63.0,35.0,37.0,41.0,31.0,55.0,41.5,41.0,41.5,42.0,41.5,37.0,36.0,34,22,16.0,17.0,15.0,10.0,17.0,49.0,7.0,,,38.0,,,15.0,14.0,14.0,15.0,12.0,4.0,17,8.0,28.0,21.0,16.0,26.0,21.0,29.0,27.0,48.0,13,
2019-01-06,68.8,62.0,61.0,60.0,68.8,63.0,68.0,76.0,51.0,81,75,91.0,86.0,67.5,63.0,62.0,59,75.0,75.0,64.0,80.0,63.0,47.0,47.0,36.0,66.0,46.5,51.0,46.5,42.0,46.5,53.0,37.0,42,21,18.0,17.0,24.0,13.0,22.0,47.0,11.0,,,35.0,,,12.0,13.0,13.0,11.0,11.0,7.0,15,8.0,28.0,27.0,16.0,34.0,15.0,29.0,44.0,52.0,8,
2019-01-07,66.5,65.0,60.0,61.0,66.5,56.0,68.0,69.0,58.0,74,71,83.0,80.0,70.5,60.0,68.0,74,68.0,68.0,65.0,76.0,57.0,48.0,62.0,45.0,67.0,42.0,44.0,42.0,40.0,42.0,57.0,50.0,58,27,22.0,26.0,19.0,16.0,22.0,39.0,7.0,,,36.0,,,16.0,17.0,17.0,5.0,17.0,9.0,15,11.0,29.0,22.0,23.0,39.0,16.0,31.0,49.0,59.0,9,
2019-01-08,27.0,19.0,27.0,28.0,27.0,23.0,23.0,38.0,27.0,23,28,34.0,32.0,22.75,18.0,13.0,28,22.0,22.0,30.0,12.0,50.0,53.0,66.0,45.0,35.0,27.0,25.0,27.0,29.0,27.0,28.0,28.0,26,23,17.0,22.0,16.0,15.0,24.0,53.0,13.0,,,34.0,,,17.0,17.0,17.0,7.0,12.0,5.0,17,9.0,24.0,26.0,18.0,48.0,21.0,31.0,34.0,52.0,10,
2019-01-09,28.875,22.0,26.0,27.0,28.875,24.0,30.0,28.875,28.875,26,33,43.0,33.0,22.75,20.0,14.0,24,32.0,32.0,35.0,15.0,26.0,27.0,96.0,32.0,28.0,,,,,,20.0,19.0,16,18,15.0,14.0,13.0,15.0,17.0,35.0,10.0,,,38.0,,,18.0,18.0,18.0,8.0,8.0,9.0,14,7.0,20.0,16.0,15.0,43.0,19.0,24.0,24.0,39.0,10,
2019-01-10,43.8,37.0,40.0,39.0,43.800000000000004,35.0,45.0,56.0,47.0,44,46,49.0,46.0,37.75,32.0,31.0,42,44.0,44.0,52.0,36.0,45.0,44.0,78.0,53.0,50.0,28.5,28.0,28.5,29.0,28.5,36.0,30.0,32,21,20.0,28.0,23.0,24.0,31.0,41.0,12.0,,,40.0,,,16.0,19.0,19.0,18.0,16.0,7.0,21,16.0,24.0,25.0,19.0,45.0,19.0,29.0,47.0,58.0,9,
2019-01-11,75.4,62.0,69.0,64.0,75.39999999999999,59.0,87.0,81.0,83.0,81,81,87.0,76.0,60.0,54.0,48.0,62,74.0,74.0,78.0,63.0,57.0,72.0,82.0,56.0,66.0,49.5,55.0,49.5,44.0,49.5,47.0,42.0,40,23,19.0,35.0,31.0,32.0,41.0,57.0,13.0,,,45.0,,,15.0,17.0,17.0,18.0,18.0,8.0,29,20.0,30.0,33.0,28.0,57.0,23.0,35.0,47.0,71.0,11,
2019-01-12,59.9,52.0,52.0,52.0,59.9,53.0,60.0,72.0,62.0,63,65,68.0,70.0,56.75,51.0,50.0,56,64.0,64.0,73.0,61.0,65.0,70.0,77.0,58.0,75.0,46.0,49.0,46.0,43.0,46.0,47.0,41.0,39,24,20.0,39.0,37.0,32.0,40.0,50.0,14.0,,,37.0,,,12.0,18.0,18.0,18.0,13.0,6.0,27,20.0,34.0,35.0,27.0,58.0,27.0,41.0,50.0,70.0,8,
2019-01-13,67.7,63.0,60.0,62.0,67.7,55.0,65.0,88.0,70.0,74,66,74.0,87.0,66.25,62.0,61.0,55,68.0,68.0,71.0,85.0,63.0,,56.0,51.0,76.0,48.333333333333336,52.0,42.0,51.0,48.333333333333336,63.0,49.0,45,25,23.0,30.0,23.0,23.0,32.0,47.0,9.0,,,38.0,,,12.0,15.0,15.0,21.0,12.0,6.0,28,19.0,34.0,32.0,22.0,57.0,26.0,42.0,51.0,60.0,7,
2019-01-14,66.8,58.0,56.0,59.0,66.8,57.0,71.0,86.0,64.0,73,65,79.0,81.0,63.75,58.0,54.0,62,68.0,68.0,86.0,81.0,55.0,,68.0,51.0,65.0,54.333333333333336,60.0,53.0,50.0,54.333333333333336,57.0,55.0,58,24,19.0,28.0,23.0,20.0,29.0,46.0,17.0,,,,,,18.0,20.0,20.0,20.0,14.0,6.0,24,17.0,39.0,30.0,22.0,64.0,27.0,43.0,46.0,53.0,11,
2019-01-15,54.6,48.0,47.0,53.0,54.6,46.0,60.0,68.0,48.0,50,58,68.0,60.0,47.0,45.0,34.0,49,55.0,55.0,58.0,34.0,58.0,58.0,73.0,73.0,61.0,38.0,44.0,29.0,41.0,38.0,39.0,41.0,43,26,21.0,30.0,27.0,23.0,36.0,46.0,22.0,,,,,,19.0,22.0,22.0,27.0,18.0,6.0,24,16.0,31.0,30.0,25.0,74.0,27.0,40.0,44.0,65.0,16,
2019-01-16,43.8,38.0,40.0,39.0,43.800000000000004,38.0,48.0,54.0,39.0,44,48,50.0,52.0,43.75,41.0,39.0,43,54.0,54.0,54.0,54.0,48.0,59.0,54.0,54.0,60.0,43.333333333333336,50.0,39.0,41.0,43.333333333333336,31.0,39.0,40,20,13.0,43.0,30.0,32.0,42.0,44.0,,,,29.0,,,18.0,23.0,23.0,21.0,17.0,7.0,20,14.0,27.0,35.0,29.0,53.0,20.0,44.0,40.0,53.0,14,
2019-01-17,47.5,45.0,45.0,42.0,47.5,38.0,51.0,53.0,51.0,49,49,52.0,58.0,48.5,47.0,44.0,45,44.0,44.0,56.0,77.0,,44.0,52.0,52.0,59.0,47.333333333333336,53.0,48.0,41.0,47.333333333333336,47.0,48.0,50,25,22.0,32.0,22.0,19.0,28.0,44.0,18.0,,,23.0,,,14.0,17.0,17.0,19.0,16.0,7.0,17,12.0,34.0,33.0,25.0,33.0,18.0,41.0,34.0,58.0,8,
2019-01-18,33.8,26.0,31.0,32.0,33.800000000000004,32.0,35.0,35.0,38.0,34,35,40.0,38.0,31.25,27.0,27.0,33,34.0,34.0,46.0,60.0,36.0,22.0,35.0,35.0,59.0,29.333333333333332,33.0,30.0,25.0,29.333333333333332,25.0,23.0,26,30,29.0,30.0,19.0,17.0,23.0,28.0,13.0,,,28.0,,,17.0,18.0,18.0,21.0,16.0,8.0,18,13.0,41.0,27.0,22.0,15.0,21.0,43.0,23.0,41.0,10,
2019-01-19,49.5,39.0,46.0,45.0,49.5,44.0,52.0,51.0,57.0,53,53,55.0,56.0,48.25,46.0,42.0,49,49.0,49.0,48.0,69.0,40.0,34.0,46.0,46.0,67.0,38.0,38.0,36.0,40.0,38.0,39.5,36.0,43,36,31.0,32.0,33.0,27.0,36.0,41.0,13.0,,,34.0,,,15.0,18.0,18.0,27.0,24.0,8.0,18,14.0,39.0,32.0,28.0,37.0,19.0,42.0,40.0,47.0,9,
2019-01-20,58.0,50.0,49.0,52.0,58.0,44.0,60.0,80.0,62.0,64,62,57.0,67.0,61.0,57.0,54.0,66,62.0,62.0,68.0,89.0,51.0,52.0,68.0,68.0,72.0,53.0,59.0,46.0,54.0,53.0,44.0,52.0,49,31,25.0,36.0,36.0,26.0,37.0,51.0,21.0,,,45.0,,,19.0,19.0,19.0,29.0,25.0,6.0,24,16.0,39.0,37.0,32.0,61.0,21.0,41.0,48.0,56.0,10,
2019-01-21,69.9,57.0,66.0,60.0,69.89999999999999,55.0,71.0,86.0,72.0,83,74,75.0,82.0,66.0,65.0,56.0,61,73.0,73.0,78.0,86.0,61.0,61.0,62.0,62.0,75.0,64.66666666666667,72.0,55.0,67.0,64.66666666666667,61.0,58.0,59,26,21.0,28.0,34.0,20.0,37.0,51.0,20.0,,,29.0,,,21.0,22.0,22.0,24.0,26.0,7.0,25,18.0,39.0,43.0,24.0,44.0,23.0,45.0,45.0,68.0,12,
