Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,21T,24T,25T,26T,28T,29T,30T,31T,74T,32T,33T,34T,35T,36T,37T,38T,39T,40T,41T,42T,43T,44T,46T,47T,60T,62T,63T,78T,57T,73T,58T,67T,75T,68T,69T,70T,71T,72T,76T,77T,79T,80T,81T,82T,83T,84T
2020-01-01,20.0,22,18.0,23.0,17.0,20.0,20.0,21.0,22.0,21.0,21.0,23.0,29,16,16,35.0,21.0,20.0,28.0,32.0,27.0,23.0,18.0,16.0,25.0,45.0,18.0,21.0,25.0,22.0,24.0,26.0,23.0,20,28.0,28.0,23,21.0,15.0,18.0,35,13.0,8.0,12.0,20,15.0,15.0,15.0,15.0,10.0,18.0,20.0,24.0,21.0,17.0,28.0,20,22,15.0,13.0,35.0,15.0,38,7.0,34.0,,,
2020-01-02,26.0,24,20.0,26.0,21.0,24.0,26.0,28.0,27.0,27.0,28.0,30.0,32,22,21,38.0,22.0,25.0,31.0,28.0,30.0,23.0,20.0,22.0,26.0,40.0,34.0,27.0,26.0,26.0,29.0,27.0,31.0,25,23.0,17.0,17,21.0,13.0,19.0,23,23.0,15.0,12.0,21,19.0,23.0,13.0,13.0,9.0,16.0,19.0,18.0,15.0,14.0,22.0,16,19,21.0,17.0,32.0,22.0,29,8.0,27.0,,,
2020-01-03,32.0,28,24.0,31.0,24.0,27.0,32.0,32.0,29.0,33.0,30.0,36.0,38,27,24,41.0,26.0,30.0,31.0,33.0,45.0,29.0,32.0,35.0,34.0,66.0,34.0,31.0,21.0,32.0,33.0,31.0,34.0,24,26.0,16.0,23,22.0,14.0,24.0,29,23.0,9.0,12.0,24,24.0,27.0,14.0,12.0,8.0,14.0,24.0,16.0,16.0,10.0,26.0,25,18,28.0,16.0,33.0,25.0,43,8.0,38.0,,,
2020-01-04,37.0,35,31.0,35.0,35.0,34.0,37.0,38.0,39.0,39.0,35.0,44.0,48,36,31,51.0,30.0,35.0,37.0,43.0,58.0,34.0,46.0,45.0,44.0,76.0,41.0,34.0,36.0,36.0,38.0,41.0,46.0,37,36.0,30.0,42,36.0,30.0,37.0,34,18.0,9.0,12.0,28,27.0,34.0,13.0,17.0,8.0,18.0,27.0,25.0,20.0,15.0,49.0,36,28,45.0,19.0,33.0,28.0,51,9.0,51.0,,,
2020-01-05,45.0,41,33.0,40.0,36.0,38.0,42.0,51.0,44.0,45.0,40.0,46.0,56,44,41,58.0,34.0,39.0,39.0,53.0,61.0,44.0,47.0,42.0,48.0,71.0,49.0,47.0,38.0,44.0,51.0,49.0,52.0,45,61.0,55.0,51,43.0,44.0,50.0,34,20.0,9.0,14.0,25,28.0,40.0,18.0,19.0,8.0,28.0,37.0,26.0,21.0,19.0,69.0,42,37,44.0,23.0,40.0,39.0,56,10.0,56.0,,,
2020-01-06,51.0,49,39.0,46.0,49.0,40.0,46.0,62.0,50.0,52.0,45.0,52.0,63,43,45,62.0,33.0,45.0,48.0,66.0,67.0,42.0,52.0,62.0,55.0,62.0,57.0,55.0,45.0,53.0,64.0,51.0,54.0,41,42.0,36.0,59,61.0,51.0,59.0,45,18.0,16.0,21.0,34,35.0,38.0,24.0,25.0,17.0,27.0,40.0,22.0,28.0,23.0,57.0,52,43,48.0,32.0,41.0,41.0,71,20.0,57.0,,,
2020-01-07,51.0,57,39.0,47.0,45.0,38.0,57.0,64.0,52.0,53.0,57.0,64.0,66,49,47,72.0,41.0,48.0,54.0,71.0,54.0,59.0,58.0,75.0,63.0,70.0,61.0,53.0,55.5,49.0,59.0,63.0,68.0,54,31.0,27.0,64,84.0,60.0,72.0,59,31.0,28.0,19.0,60,46.0,46.0,20.0,22.0,17.0,31.0,33.0,18.0,39.0,32.0,55.0,60,50,50.0,34.0,41.0,48.0,72,15.0,53.0,,,
2020-01-08,53.0,64,47.0,53.0,52.0,49.0,60.0,58.0,55.0,55.0,59.0,63.0,76,53,50,76.0,48.0,49.0,54.0,59.0,61.0,51.0,61.0,76.0,57.0,82.0,58.0,49.0,43.0,55.0,55.0,65.0,66.0,59,56.0,51.0,73,66.0,54.0,61.0,53,18.0,12.0,12.0,42,39.0,61.0,14.0,15.0,9.0,43.0,48.0,18.0,36.0,31.0,70.0,60,59,48.0,34.0,54.0,45.0,83,8.0,55.0,,,
2020-01-09,60.0,55,47.0,49.0,49.0,47.0,53.0,74.0,56.0,63.0,56.0,70.0,67,51,54,68.0,55.0,60.0,61.0,81.0,88.0,63.0,57.0,67.0,56.0,90.0,53.0,51.0,46.0,51.0,56.0,55.0,57.0,53,58.0,58.0,64,49.0,58.0,55.0,55,12.0,7.0,12.0,43,40.0,50.0,17.0,16.0,8.0,48.0,50.0,29.0,33.0,31.0,68.0,72,56,48.0,33.0,53.0,48.0,71,8.0,74.0,,,
2020-01-10,97.0,100,63.0,72.0,78.0,70.0,78.0,96.0,82.0,101.0,77.0,102.0,112,86,86,108.0,48.0,82.0,72.0,94.0,109.0,67.0,60.0,68.0,59.0,88.0,51.0,58.0,41.0,66.0,55.0,67.0,60.0,59,49.0,47.0,64,61.0,60.0,65.0,62,17.0,13.0,15.0,46,44.0,47.0,18.0,21.0,7.0,44.0,44.0,23.0,44.0,37.0,65.0,87,57,47.0,41.0,50.0,46.0,82,11.0,77.0,,,
