Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,24T,26T,27T,79T,30T,32T,77T,35T,36T,40T,75T,76T,44T,62T,63T,46T,80T
2017-01-01,33.0,21.0,28.0,26.5,34.0,26.5,26.5,28.0,26.5,17.0,24.0,27.0,26.5,17.0,21.0,18.0,30.0,21.75,21.0,16.0,20.0,7.0,7.0,7.0,,
2017-01-02,28.0,19.0,27.0,24.875,32.0,24.875,24.875,26.0,24.875,17.0,25.0,25.0,24.875,21.0,24.0,15.0,11.333333333333334,11.333333333333334,11.0,5.0,18.0,9.0,9.0,9.0,,
2017-01-03,31.0,19.0,32.0,28.75,34.0,28.75,28.75,28.0,28.75,22.0,28.0,36.0,28.75,15.0,19.0,19.0,12.5,13.0,12.0,4.0,21.0,6.0,6.0,6.0,,
2017-01-04,37.0,21.0,34.0,34.125,37.0,34.125,34.125,28.0,34.125,32.0,35.0,49.0,34.125,22.0,24.0,21.0,19.0,12.25,10.0,2.0,18.0,5.0,5.0,5.0,37.0,
2017-01-05,45.0,29.0,40.0,39.25,45.0,39.25,39.25,34.0,39.25,34.0,39.0,48.0,39.25,23.0,24.0,29.0,9.5,9.5,7.0,9.5,12.0,7.0,7.0,7.0,42.0,
2017-01-06,43.0,27.0,38.0,36.0,44.0,36.0,36.0,36.0,36.0,31.0,31.0,38.0,36.0,27.0,34.0,20.0,8.75,13.0,7.0,5.0,10.0,5.0,5.0,5.0,37.0,
2017-01-07,46.0,30.0,42.0,44.25,52.0,44.25,44.25,41.0,44.25,57.0,36.0,50.0,44.25,37.5,42.0,33.0,22.0,15.0,10.0,6.0,16.0,,,,50.0,
2017-01-08,43.0,35.0,43.0,44.875,49.0,44.875,44.875,39.0,44.875,59.0,40.0,51.0,44.875,26.0,27.0,25.0,28.0,23.0,12.0,6.0,29.0,6.0,6.0,6.0,,
2017-01-09,35.0,27.0,33.0,40.75,39.0,40.75,40.75,30.0,40.75,71.0,33.0,58.0,40.75,25.0,20.0,30.0,28.0,18.5,16.0,6.0,24.0,10.0,10.0,10.0,,
2017-01-10,36.0,38.0,41.0,41.75,51.0,41.75,41.75,45.0,41.75,79.0,14.0,30.0,41.75,34.0,34.0,34.0,13.5,20.0,12.0,5.0,17.0,12.0,12.0,12.0,,
2017-01-11,25.0,17.0,24.0,27.25,29.0,27.25,27.25,26.0,27.25,70.0,10.0,17.0,27.25,19.0,20.0,18.0,10.0,12.0,6.0,10.0,12.0,10.0,10.0,10.0,40.0,
2017-01-12,19.0,17.0,22.0,20.0,19.0,20.0,20.0,19.0,20.0,47.0,9.0,8.0,20.0,13.0,13.0,22.0,18.0,12.0,10.0,13.0,12.0,12.0,12.0,12.0,57.0,
2017-01-13,29.0,20.0,30.0,26.875,27.0,26.875,26.875,25.0,26.875,59.0,12.0,13.0,26.875,21.0,14.0,30.0,21.0,14.0,14.0,6.0,24.0,14.0,14.0,14.0,45.0,
2017-01-14,46.0,31.0,39.0,42.5,44.0,42.5,42.5,39.0,42.5,75.0,27.0,39.0,42.5,28.0,32.5,37.0,26.0,14.0,14.0,8.0,32.0,18.0,18.0,18.0,36.0,
