Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,14T,17T,18T,19T,20T,21T,24T,25T,26T,27T,41T,79T,29T,30T,31T,32T,33T,34T,71T,77T,35T,36T,37T,38T,39T,40T,57T,58T,67T,68T,69T,70T,73T,75T,76T,42T,44T,62T,63T,46T,72T,80T
2018-01-01,17.0,24.833333333333332,24.833333333333332,21.0,30.0,24.833333333333332,27.0,31.0,15,24.833333333333332,31.0,24.833333333333332,24.833333333333332,24.833333333333332,25.0,24.833333333333332,24.833333333333332,17.0,24.833333333333332,23.0,35.0,24.83333333333333,26.0,20.0,16.0,20.0,20.0,20.0,20.0,20.0,24.0,27.0,20.0,19.6,19.599999999999998,19.599999999999998,16.0,19.6,19.6,19.6,19.599999999999998,19.599999999999998,19.599999999999998,19.599999999999998,10.0,25.0,13.0,10.0,11.0,18,16.0,16.0,10.0
2018-01-02,25.0,30.5,30.5,26.0,33.0,30.5,30.0,37.0,17,30.5,33.0,30.5,30.5,30.5,33.0,30.5,30.5,21.0,30.5,35.0,45.0,30.5,31.0,25.333333333333332,20.0,25.333333333333332,27.0,25.333333333333332,25.333333333333332,25.333333333333332,29.0,28.0,22.0,22.0,22.0,22.0,17.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,15.0,28.0,15.666666666666666,15.0,13.0,19,20.0,20.0,13.0
2018-01-03,34.0,39.75,39.75,38.0,42.0,39.75,40.0,50.0,22,39.75,40.0,39.75,39.75,39.75,38.0,39.75,39.75,35.0,39.75,42.0,60.0,39.75,36.0,31.666666666666668,29.0,31.666666666666668,34.0,31.666666666666668,31.666666666666668,31.666666666666664,32.0,28.0,16.0,22.0,22.0,22.0,19.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,18.0,29.0,14.666666666666666,10.0,16.0,18,23.0,23.0,11.0
2018-01-04,41.0,46.75,46.75,39.0,45.0,46.75,45.0,53.0,24,46.75,51.0,46.75,46.75,46.75,55.0,46.75,46.75,36.0,46.75,49.0,79.0,46.75,44.0,42.0,37.0,42.0,45.0,42.0,42.0,42.0,44.0,30.0,21.0,24.6,24.599999999999998,24.599999999999998,20.0,24.6,24.599999999999998,24.6,24.6,24.599999999999998,24.6,24.6,20.0,32.0,14.0,11.0,11.0,20,20.0,20.0,12.0
2018-01-05,42.0,50.916666666666664,50.916666666666664,51.0,53.0,50.916666666666664,51.0,58.0,27,50.916666666666664,59.0,50.916666666666664,50.916666666666664,50.916666666666664,56.0,50.916666666666664,50.916666666666664,47.0,50.916666666666664,48.0,72.0,50.91666666666666,47.0,56.0,55.0,56.0,64.0,56.0,56.0,56.0,49.0,23.0,22.0,24.4,24.400000000000002,24.400000000000002,20.0,24.4,24.400000000000002,24.4,24.4,24.400000000000002,24.4,24.4,20.0,37.0,17.666666666666668,14.0,17.0,22,36.0,36.0,12.0
2018-01-06,46.0,49.72727272727273,49.72727272727273,42.0,49.727272727272734,49.727272727272734,48.0,52.0,25,49.727272727272734,54.0,49.727272727272734,49.72727272727273,49.72727272727272,60.0,49.72727272727273,49.72727272727273,61.0,49.72727272727273,52.0,49.0,49.72727272727273,58.0,54.333333333333336,46.0,54.333333333333336,68.0,54.333333333333336,54.333333333333336,54.33333333333333,49.0,30.0,39.0,29.8,29.8,29.8,22.0,29.799999999999997,29.799999999999997,29.8,29.8,29.8,29.800000000000004,29.800000000000004,18.0,40.0,15.333333333333334,13.0,13.0,20,35.0,35.0,14.0
2018-01-07,8.0,20.727272727272727,20.727272727272727,26.0,20.727272727272727,20.727272727272727,19.0,20.0,10,20.727272727272727,15.0,20.727272727272727,20.727272727272727,20.72727272727273,18.0,20.727272727272727,20.727272727272727,41.0,20.727272727272727,16.0,18.0,20.727272727272727,37.0,20.5,17.0,20.5,20.5,20.5,20.5,20.5,24.0,31.0,40.0,31.2,31.2,31.2,29.0,31.200000000000003,31.200000000000003,31.2,31.2,31.2,31.199999999999996,31.199999999999996,22.0,34.0,11.333333333333334,10.0,9.0,15,31.0,31.0,12.0
2018-01-08,8.0,15.818181818181818,15.818181818181818,10.0,15.818181818181817,15.818181818181817,16.0,16.0,10,15.818181818181817,15.0,15.818181818181817,15.818181818181817,15.81818181818182,21.0,15.818181818181818,15.818181818181818,34.0,15.818181818181817,12.0,10.0,15.818181818181815,22.0,23.0,16.0,23.0,23.0,23.0,23.0,23.0,30.0,26.0,35.0,33.2,33.199999999999996,33.2,45.0,33.2,33.2,33.2,33.199999999999996,33.199999999999996,33.199999999999996,33.199999999999996,28.0,32.0,11.333333333333334,13.0,6.0,15,35.0,35.0,8.0
2018-01-09,8.0,21.0,21.0,22.0,14.0,21.0,22.0,21.0,14,21.0,19.0,21.0,21.0,21.0,17.0,21.0,21.0,46.0,21.0,22.0,12.0,21.0,35.0,31.5,23.0,31.5,31.5,31.5,31.5,31.5,40.0,24.0,24.0,24.8,24.8,24.8,26.0,24.799999999999997,24.799999999999997,24.8,24.8,24.8,24.800000000000004,24.800000000000004,20.0,30.0,11.333333333333334,9.0,6.0,19,30.0,30.0,9.0
2018-01-10,10.0,19.0,19.0,10.0,9.0,19.0,17.0,21.0,8,19.0,21.0,19.0,19.0,19.0,20.0,19.0,19.0,29.0,19.0,26.0,26.0,19.0,31.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,22.0,23.0,23.6,23.599999999999998,23.599999999999998,29.0,23.6,23.599999999999998,23.6,23.6,23.599999999999998,23.6,23.6,19.0,25.0,12.0,8.0,10.0,18,15.0,15.0,8.0
2018-01-11,22.0,31.833333333333332,31.833333333333332,25.0,29.0,31.833333333333332,35.0,44.0,18,31.833333333333332,35.0,31.833333333333332,31.833333333333332,31.833333333333332,30.0,31.83333333333333,31.833333333333332,33.0,31.833333333333332,35.0,50.0,31.833333333333336,26.0,24.0,16.0,24.0,25.0,24.0,24.0,24.0,31.0,37.0,30.0,26.6,26.599999999999998,26.599999999999998,28.0,26.6,26.599999999999998,26.6,26.6,26.599999999999998,26.6,26.6,11.0,27.0,9.666666666666666,6.0,8.0,15,27.0,27.0,8.0
2018-01-12,26.0,36.083333333333336,36.083333333333336,34.0,33.0,36.083333333333336,37.0,50.0,16,36.083333333333336,39.0,36.083333333333336,36.083333333333336,36.083333333333336,31.0,36.083333333333336,36.083333333333336,27.0,36.083333333333336,50.0,58.0,36.08333333333334,32.0,24.0,18.0,24.0,26.0,24.0,24.0,24.0,28.0,21.0,20.25,20.25,20.25,20.25,11.0,20.25,20.25,20.25,20.25,20.25,20.25,20.25,18.0,31.0,14.0,12.0,14.0,16,27.0,27.0,8.0
2018-01-13,34.0,43.166666666666664,43.166666666666664,36.0,46.0,43.166666666666664,44.0,58.0,19,43.166666666666664,50.0,43.166666666666664,43.166666666666664,43.166666666666664,41.0,43.166666666666664,43.166666666666664,33.0,43.166666666666664,51.0,65.0,43.16666666666666,41.0,36.333333333333336,27.0,36.333333333333336,35.0,36.333333333333336,36.333333333333336,36.333333333333336,47.0,25.0,15.0,22.2,22.2,22.2,21.0,22.200000000000003,22.200000000000003,22.2,22.2,22.2,22.199999999999996,22.199999999999996,23.0,27.0,17.333333333333332,19.0,12.0,21,31.0,31.0,14.0
2018-01-14,41.0,46.75,46.75,38.0,48.0,46.75,45.0,62.0,20,46.75,52.0,46.75,46.75,46.75,56.0,46.75,46.75,42.0,46.75,51.0,61.0,46.75,45.0,38.333333333333336,35.0,38.333333333333336,43.0,38.333333333333336,38.333333333333336,38.333333333333336,37.0,33.0,25.0,28.6,28.599999999999998,28.599999999999998,27.0,28.6,28.599999999999998,28.6,28.6,28.600000000000005,28.600000000000005,28.600000000000005,23.0,35.0,18.333333333333332,17.0,13.0,25,24.0,24.0,19.0
