Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,41T,79T,81T,28T,29T,30T,31T,32T,33T,34T,60T,71T,74T,77T,35T,36T,37T,38T,39T,40T,57T,58T,67T,68T,69T,70T,73T,75T,76T,42T,44T,62T,63T,78T,43T,80T,46T,47T,72T
2019-01-01,21.545454545454547,15.0,20.0,22.0,21.545454545454547,23.0,21.545454545454547,25.0,22.0,28,27,31.0,28.0,23.0,21.0,21.545454545454547,15.0,19.0,24,18.0,12.0,21.545454545454547,14.0,15.0,29.0,21.545454545454547,20.0,23.0,21.545454545454543,15.714285714285714,14.0,15.714285714285715,16.0,19.0,16.0,15,15.714285714285715,12.0,15.714285714285717,18.0,26,27.0,16.0,13.0,7.0,17.0,10.0,14.0,15,26.0,19.0,17.0,11.0,6.0,28.0,19.0,21.666666666666668,19.0,27.0,21.666666666666668,14.0,14,24.0,17.5,11.0
2019-01-02,24.954545454545453,21.0,26.0,21.0,24.954545454545457,23.0,24.954545454545453,25.0,25.0,30,30,30.0,34.0,23.0,26.0,24.95454545454545,22.0,26.0,28,19.0,14.0,24.954545454545453,15.0,20.0,32.0,24.954545454545453,24.0,35.0,24.954545454545457,18.857142857142858,20.0,18.857142857142858,21.0,21.0,17.0,19,18.857142857142858,14.0,18.857142857142858,20.0,21,17.0,15.0,14.0,7.0,15.0,10.0,10.0,11,27.0,20.0,14.0,11.0,6.0,25.0,18.0,21.666666666666668,19.0,28.0,21.666666666666668,21.0,21,27.0,21.0,15.0
2019-01-03,29.363636363636363,24.0,26.0,25.0,29.363636363636363,24.0,29.363636363636363,29.0,28.0,34,33,35.0,35.0,32.0,37.0,29.363636363636363,26.0,29.0,33,22.0,21.0,29.363636363636367,24.0,19.0,36.0,29.363636363636367,35.0,39.0,29.363636363636367,23.333333333333332,23.333333333333332,23.333333333333332,25.0,27.0,27.0,25,23.333333333333332,13.0,23.333333333333332,23.0,21,16.0,15.0,12.0,7.0,15.0,13.0,6.0,11,30.0,13.0,13.0,14.0,8.0,39.0,24.0,16.333333333333332,10.0,15.0,16.333333333333332,16.0,16,24.0,20.5,17.0
2019-01-04,34.208333333333336,27.0,32.0,29.0,34.208333333333336,28.0,32.0,33.0,31.0,37,39,40.0,39.0,33.0,36.0,34.208333333333336,30.0,30.0,39,27.0,24.0,34.208333333333336,34.0,21.0,53.0,48.0,34.0,45.0,34.208333333333336,26.0,28.0,26.0,31.0,29.0,26.0,25,26.0,19.0,26.0,24.0,20,16.0,16.0,13.0,9.0,14.0,14.0,4.0,14,30.0,18.0,15.0,11.0,8.0,34.0,16.0,11.666666666666666,9.0,10.0,11.666666666666666,10.0,10,30.0,22.5,15.0
2019-01-05,42.375,33.0,37.0,36.0,42.375,35.0,39.0,43.0,34.0,46,51,47.0,48.0,45.0,45.0,42.375,38.0,38.0,43,35.0,37.0,42.375,41.0,31.0,55.0,63.0,49.0,48.0,42.375,34.714285714285715,41.0,34.714285714285715,42.0,37.0,36.0,34,34.714285714285715,26.0,34.714285714285715,27.0,22,16.0,17.0,15.0,10.0,17.0,15.0,4.0,17,28.0,21.0,16.0,12.0,8.0,29.0,7.0,12.0,15.0,14.0,12.0,13.0,13,38.0,29.5,21.0
2019-01-06,63.958333333333336,62.0,61.0,60.0,63.95833333333334,63.0,68.0,76.0,51.0,81,75,91.0,86.0,75.0,64.0,63.958333333333336,63.0,62.0,59,63.0,47.0,63.958333333333336,47.0,36.0,66.0,80.0,47.0,52.0,63.95833333333333,43.285714285714285,51.0,43.285714285714285,42.0,53.0,37.0,42,43.285714285714285,34.0,43.285714285714285,44.0,21,18.0,17.0,24.0,13.0,22.0,18.285714285714285,7.0,15,28.0,27.0,16.0,11.0,8.0,29.0,11.0,12.0,12.0,13.0,12.0,8.0,8,35.0,25.0,15.0
2019-01-07,63.875,65.0,60.0,61.0,63.875,56.0,68.0,69.0,58.0,74,71,83.0,80.0,68.0,65.0,63.875,60.0,68.0,74,57.0,48.0,63.875,62.0,45.0,67.0,76.0,39.0,59.0,63.875,48.142857142857146,44.0,48.14285714285714,40.0,57.0,50.0,58,48.14285714285714,39.0,48.142857142857146,49.0,27,22.0,26.0,19.0,16.0,22.0,5.0,9.0,15,29.0,22.0,23.0,17.0,11.0,31.0,7.0,13.333333333333334,16.0,17.0,13.333333333333334,9.0,9,36.0,26.0,16.0
2019-01-08,32.69565217391305,19.0,27.0,28.0,32.69565217391304,23.0,23.0,38.0,32.69565217391304,23,28,34.0,32.0,22.0,30.0,32.69565217391305,18.0,13.0,28,50.0,53.0,32.69565217391305,66.0,45.0,35.0,12.0,53.0,52.0,32.69565217391305,31.142857142857142,25.0,31.142857142857142,29.0,28.0,28.0,26,31.142857142857142,48.0,31.142857142857146,34.0,23,17.0,22.0,16.0,15.0,24.0,7.0,5.0,17,24.0,26.0,18.0,12.0,9.0,31.0,13.0,15.666666666666666,17.0,17.0,15.666666666666666,10.0,10,34.0,27.5,21.0
2019-01-09,31.227272727272727,22.0,26.0,27.0,31.227272727272727,24.0,30.0,31.22727272727273,31.22727272727273,26,33,43.0,33.0,32.0,35.0,31.22727272727273,20.0,14.0,24,26.0,27.0,31.227272727272727,96.0,32.0,28.0,15.0,35.0,39.0,31.227272727272727,24.4,24.400000000000002,24.400000000000002,24.4,20.0,19.0,16,24.4,43.0,24.4,24.0,18,15.0,14.0,13.0,15.0,17.0,14.642857142857142,9.0,14,20.0,16.0,15.0,8.0,7.0,24.0,10.0,15.333333333333334,18.0,18.0,15.333333333333334,10.0,10,38.0,28.5,19.0
2019-01-10,45.416666666666664,37.0,40.0,39.0,45.41666666666666,35.0,45.0,56.0,47.0,44,46,49.0,46.0,44.0,52.0,45.416666666666664,32.0,31.0,42,45.0,44.0,45.416666666666664,78.0,53.0,50.0,36.0,41.0,58.0,45.416666666666664,35.285714285714285,28.0,35.285714285714285,29.0,36.0,30.0,32,35.285714285714285,45.0,35.285714285714285,47.0,21,20.0,28.0,23.0,24.0,31.0,18.0,7.0,21,24.0,25.0,19.0,16.0,16.0,29.0,12.0,15.666666666666666,16.0,19.0,15.666666666666666,9.0,9,40.0,29.5,19.0
