Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,13T,14T,16T,17T,18T,19T,20T,21T,22T,24T,25T,26T,27T,41T,79T,81T,84T,28T,29T,30T,31T,32T,33T,34T,60T,71T,74T,77T,35T,36T,37T,38T,39T,40T,57T,58T,67T,68T,69T,70T,73T,75T,76T,42T,44T,62T,63T,78T,43T,80T,46T,47T,72T,82T,83T
2020-01-01,20.0,22,18.0,23.0,17.0,20.0,20.0,21.0,22.0,21.0,21.0,23.0,29,20.0,32.0,16,16,35.0,21.0,23.0,18.0,28.0,16.0,25.0,45.0,27.0,35,38,34.0,24.344827586206897,18.0,21.0,25.0,22.0,26.0,23.0,20,15.0,15.0,24.0,15.0,28.0,28.0,23,21.0,15.0,18.0,18.0,24.0,21.0,28.0,20,22,20.0,17.0,35.0,13.0,12.0,15.0,15.0,10.0,8.0,7.0,20,15.0,13.0,16.0,16.0
2020-01-02,26.0,24,20.0,26.0,21.0,24.0,26.0,28.0,27.0,27.0,28.0,30.0,32,25.0,28.0,22,21,38.0,22.0,23.0,20.0,31.0,22.0,26.0,40.0,30.0,23,29,27.0,26.413793103448278,34.0,27.0,26.0,26.0,27.0,31.0,25,23.0,21.0,29.0,22.0,23.0,17.0,17,21.0,13.0,19.0,16.0,18.0,15.0,22.0,16,19,19.0,14.0,32.0,23.0,12.0,13.0,13.0,9.0,15.0,8.0,21,19.0,17.0,19.0,19.0
2020-01-03,32.0,28,24.0,31.0,24.0,27.0,32.0,32.0,29.0,33.0,30.0,36.0,38,30.0,33.0,27,24,41.0,26.0,29.0,32.0,31.0,35.0,34.0,66.0,45.0,29,43,38.0,33.06896551724138,34.0,31.0,21.0,32.0,31.0,34.0,24,27.0,28.0,33.0,25.0,26.0,16.0,23,22.0,14.0,24.0,14.0,16.0,16.0,26.0,25,18,24.0,10.0,33.0,23.0,12.0,14.0,12.0,8.0,9.0,8.0,24,24.0,16.0,21.333333333333332,21.333333333333332
2020-01-04,37.0,35,31.0,35.0,35.0,34.0,37.0,38.0,39.0,39.0,35.0,44.0,48,35.0,43.0,36,31,51.0,30.0,34.0,46.0,37.0,45.0,44.0,76.0,58.0,34,51,51.0,41.0,41.0,34.0,36.0,36.0,41.0,46.0,37,34.0,45.0,38.0,28.0,36.0,30.0,42,36.0,30.0,37.0,18.0,25.0,20.0,49.0,36,28,27.0,15.0,33.0,18.0,12.0,13.0,17.0,8.0,9.0,9.0,28,27.0,19.0,24.666666666666668,24.666666666666668
2020-01-05,45.0,41,33.0,40.0,36.0,38.0,42.0,51.0,44.0,45.0,40.0,46.0,56,39.0,53.0,44,41,58.0,34.0,44.0,47.0,39.0,42.0,48.0,71.0,61.0,34,56,56.0,45.6551724137931,49.0,47.0,38.0,44.0,49.0,52.0,45,40.0,44.0,51.0,39.0,61.0,55.0,51,43.0,44.0,50.0,28.0,26.0,21.0,69.0,42,37,37.0,19.0,40.0,20.0,14.0,18.0,19.0,8.0,9.0,10.0,25,28.0,23.0,25.333333333333332,25.333333333333332
2020-01-06,51.0,49,39.0,46.0,49.0,40.0,46.0,62.0,50.0,52.0,45.0,52.0,63,45.0,66.0,43,45,62.0,33.0,42.0,52.0,48.0,62.0,55.0,62.0,67.0,45,71,57.0,51.689655172413794,57.0,55.0,45.0,53.0,51.0,54.0,41,38.0,48.0,64.0,41.0,42.0,36.0,59,61.0,51.0,59.0,27.0,22.0,28.0,57.0,52,43,40.0,23.0,41.0,18.0,21.0,24.0,25.0,17.0,16.0,20.0,34,35.0,32.0,33.666666666666664,33.666666666666664
2020-01-07,51.0,57,39.0,47.0,45.0,38.0,57.0,64.0,52.0,53.0,57.0,64.0,66,48.0,71.0,49,47,72.0,41.0,59.0,58.0,54.0,75.0,63.0,70.0,54.0,59,72,53.0,56.37931034482759,61.0,53.0,55.1,49.0,63.0,68.0,54,46.0,50.0,59.0,48.0,31.0,27.0,64,84.0,60.0,72.0,31.0,18.0,39.0,55.0,60,50,33.0,32.0,41.0,31.0,19.0,20.0,22.0,17.0,28.0,15.0,60,46.0,34.0,46.666666666666664,46.666666666666664
2020-01-08,53.0,64,47.0,53.0,52.0,49.0,60.0,58.0,55.0,55.0,59.0,63.0,76,49.0,59.0,53,50,76.0,48.0,51.0,61.0,54.0,76.0,57.0,82.0,61.0,53,83,55.0,59.03448275862069,58.0,49.0,43.0,55.0,65.0,66.0,59,61.0,48.0,55.0,45.0,56.0,51.0,73,66.0,54.0,61.0,43.0,18.0,36.0,70.0,60,59,48.0,31.0,54.0,18.0,12.0,14.0,15.0,9.0,12.0,8.0,42,39.0,34.0,38.333333333333336,38.333333333333336
2020-01-09,60.0,55,47.0,49.0,49.0,47.0,53.0,74.0,56.0,63.0,56.0,70.0,67,60.0,81.0,51,54,68.0,55.0,63.0,57.0,61.0,67.0,56.0,90.0,88.0,55,71,74.0,61.96551724137931,53.0,51.0,46.0,51.0,55.0,57.0,53,50.0,48.0,56.0,48.0,58.0,58.0,64,49.0,58.0,55.0,48.0,29.0,33.0,68.0,72,56,50.0,31.0,53.0,12.0,12.0,17.0,16.0,8.0,7.0,8.0,43,40.0,33.0,38.666666666666664,38.666666666666664
2020-01-10,97.0,100,63.0,72.0,78.0,70.0,78.0,96.0,82.0,101.0,77.0,102.0,112,82.0,94.0,86,86,108.0,48.0,67.0,60.0,72.0,68.0,59.0,88.0,109.0,62,82,77.0,81.93103448275862,51.0,58.0,41.0,66.0,67.0,60.0,59,47.0,47.0,55.0,46.0,49.0,47.0,64,61.0,60.0,65.0,44.0,23.0,44.0,65.0,87,57,44.0,37.0,50.0,17.0,15.0,18.0,21.0,7.0,13.0,11.0,46,44.0,41.0,43.666666666666664,43.666666666666664
