Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,99T,41T,98T,103T,100T,42T,44T,62T,63T,78T,89T,46T,47T,72T,82T,83T,88T,90T,91T,101T,102T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,94T,95T,96T,97T,43T,80T,93T
2022-01-01,23.0,21.0,17.0,20.0,20.0,16.0,19.0,23.0,24.0,23.0,27.0,29.0,23.0,18.0,17,30,22.0,20,16,21.0,32.0,20.0,27.0,15,18.0,14.0,29.0,26.0,24.0,21,21.64516129032258,16.0,21.64516129032258,14.833333333333334,14.833333333333334,13.0,17.0,18.0,17.0,9.0,15,20.0,16.0,16.0,5.0,12,14.0,18,11.0,14.0,14.0,14.0,16,18.0,20.0,17.0,16.0,15.0,16.0,18.0,15.0,20.0,13,28.0,26,21.0,19.0,11.0,18.0,28.0,32.0,22,23.0,13.0,25.0,26.0,22.0,27.0,15,21.0,22.176470588235293,22.176470588235293,22.176470588235293,22.176470588235297,15.0,8.0,13.0
2022-01-02,24.0,24.0,20.0,19.0,20.0,17.0,21.0,24.0,24.0,25.0,27.0,28.0,22.0,17.0,16,32,22.0,20,17,20.0,28.0,20.0,24.0,18,17.0,19.0,27.0,24.0,24.0,21,21.870967741935484,17.0,21.870967741935484,15.0,15.0,13.0,16.0,20.0,20.0,10.0,11,26.0,22.0,17.0,8.0,12,17.0,15,13.0,16.25,16.25,15.0,15,17.0,20.0,19.0,19.0,15.0,18.0,16.0,17.0,23.0,15,22.0,21,21.0,15.0,11.0,18.0,20.0,23.0,18,23.0,13.0,21.0,18.0,18.0,20.0,18,20.0,18.823529411764707,18.823529411764707,18.823529411764707,18.823529411764703,15.0,10.0,13.0
2022-01-03,27.0,27.0,22.0,23.0,22.0,21.0,24.0,31.0,27.0,28.0,32.0,30.0,27.0,20.0,19,33,25.0,23,20,27.0,34.0,23.0,34.0,20,21.0,17.0,31.0,27.0,30.0,22,25.548387096774192,25.0,25.548387096774192,14.5,14.5,14.0,14.0,17.0,18.0,10.0,14,30.0,19.0,20.0,13.0,12,23.0,16,15.0,18.5,18.5,19.0,24,21.0,22.0,23.0,19.0,15.0,21.0,18.0,15.0,22.0,13,23.0,17,24.0,19.0,13.0,22.0,18.0,19.0,16,26.0,14.0,25.0,26.0,21.0,26.0,24,24.0,21.0,21.0,21.0,21.0,14.0,9.0,11.0
2022-01-04,34.0,33.0,29.0,29.0,29.0,27.0,27.0,37.0,35.0,35.0,40.0,40.0,32.0,28.0,26,44,30.0,31,29,32.0,43.0,30.0,37.0,23,28.0,22.0,30.0,29.0,27.0,31,31.580645161290324,32.0,31.580645161290324,14.5,14.5,14.0,15.0,18.0,19.0,10.0,11,35.0,26.0,28.0,12.0,15,22.0,18,23.0,22.375,22.375,23.0,28,23.0,24.0,29.0,21.0,20.0,23.0,24.0,18.0,27.0,13,23.0,19,27.0,22.0,17.0,23.0,21.0,25.0,16,25.0,15.0,26.0,26.0,25.0,30.0,31,24.0,23.235294117647058,23.235294117647058,23.23529411764706,23.23529411764706,13.0,9.0,10.0
2022-01-05,43.0,43.0,29.0,25.0,33.0,31.0,31.0,45.0,43.0,45.0,41.0,50.0,47.0,41.0,35,50,33.0,33,32,36.0,44.0,32.0,43.0,27,42.0,24.0,39.0,33.0,36.0,37,37.32258064516129,34.0,37.32258064516129,14.333333333333334,14.333333333333334,19.0,13.0,15.0,16.0,11.0,12,44.0,38.0,31.0,15.0,21,34.0,22,25.0,28.75,28.75,30.0,31,31.0,30.0,30.0,30.0,23.0,29.0,27.0,27.0,30.0,15,22.0,16,26.0,26.0,19.0,24.0,23.0,21.0,14,25.0,18.0,30.0,29.0,28.0,32.0,34,30.0,24.529411764705884,24.52941176470588,24.52941176470588,24.529411764705877,17.0,8.0,14.0
2022-01-06,44.0,45.0,36.0,35.0,34.0,31.0,34.0,51.0,40.0,45.0,46.0,46.0,43.0,46.0,39,53,44.0,37,37,51.0,58.0,42.0,50.0,34,48.0,38.0,42.0,40.0,36.0,44,42.03225806451613,34.0,42.03225806451613,17.5,17.5,20.0,16.0,19.0,18.0,11.0,21,53.0,35.0,31.0,16.0,16,20.0,23,34.0,28.5,28.5,34.0,42,30.0,33.0,40.0,29.0,28.0,37.0,34.0,31.0,35.0,20,18.0,16,25.0,21.0,17.0,23.0,22.0,24.0,17,27.0,23.0,28.0,31.0,29.0,28.0,35,34.0,24.58823529411765,24.588235294117645,24.588235294117645,24.588235294117645,20.0,10.0,13.0
2022-01-07,50.0,49.0,39.0,40.0,40.0,33.0,40.0,54.0,45.0,50.0,44.0,52.0,49.0,39.0,39,52,37.0,37,33,56.0,56.0,40.0,59.0,36,40.0,37.0,54.0,43.0,42.0,47,44.064516129032256,34.0,44.064516129032256,15.666666666666666,15.666666666666666,17.0,12.0,17.0,17.0,12.0,19,39.0,32.0,28.0,11.0,14,12.0,14,18.0,21.0,21.0,36.0,40,27.0,29.0,35.0,38.0,35.0,38.0,36.0,29.0,30.0,21,23.0,16,28.0,26.0,22.0,26.0,24.0,23.0,17,30.0,20.0,28.0,34.0,30.0,27.0,45,38.0,26.88235294117647,26.88235294117647,26.88235294117647,26.88235294117647,16.0,7.0,11.5
2022-01-08,36.0,39.0,28.0,27.0,31.0,27.0,29.0,41.0,34.0,37.0,36.0,40.0,38.0,35.0,29,44,36.0,32,31,47.0,44.0,37.0,45.0,36,39.0,33.0,43.0,38.0,37.0,44,36.32258064516129,33.0,36.32258064516129,15.0,15.0,15.0,13.0,17.0,18.0,7.0,20,39.0,29.0,26.0,12.0,19,21.0,18,22.0,23.25,23.25,39.0,40,34.0,33.0,36.0,31.0,26.0,39.0,27.0,27.0,34.0,17,26.0,21,30.0,24.0,23.0,27.0,25.0,23.0,14,32.0,21.0,32.0,38.0,31.0,28.375,42,45.0,28.375,28.375,28.375,28.375,13.0,9.0,11.0
2022-01-09,44.0,43.0,36.0,36.0,36.0,32.0,35.0,51.0,40.0,45.0,45.0,47.0,45.0,41.0,37,46,36.0,39,36,49.0,48.0,41.0,49.0,40,46.0,34.0,42.0,39.0,44.0,38,41.12903225806452,35.0,41.12903225806452,16.166666666666668,16.166666666666668,15.0,17.0,18.0,18.0,11.0,18,45.0,38.0,30.0,17.0,16,23.0,20,33.0,27.75,27.75,34.0,38,32.0,31.0,36.0,32.0,23.0,33.0,35.0,31.0,38.0,19,20.0,18,34.0,26.0,25.0,27.0,22.0,18.0,14,33.0,21.0,30.0,33.0,28.0,36.0,45,42.0,27.764705882352942,27.764705882352942,27.76470588235294,27.76470588235294,18.0,8.0,10.0
2022-01-10,45.0,49.0,33.0,37.0,35.0,33.0,34.0,53.0,43.0,46.0,46.0,47.0,47.0,36.0,39,48,39.0,36,35,46.0,42.0,44.0,43.0,45,63.0,39.0,41.0,40.0,38.0,48,42.29032258064516,41.0,42.29032258064516,20.5,20.5,19.0,21.0,23.0,24.0,12.0,24,45.0,39.0,33.0,19.0,21,32.0,28,45.0,32.75,32.75,42.0,38,36.0,31.0,42.0,38.0,32.0,39.0,34.0,31.0,34.0,25,20.0,19,33.0,24.0,23.0,28.0,25.0,20.0,16,31.0,23.0,30.0,36.0,28.0,39.0,43,45.0,28.41176470588235,28.411764705882355,28.411764705882355,28.411764705882355,19.0,11.0,12.0
