Date,05T,10T,11T,59T,61T,03T,50T,52T,53T,54T,08T,17T,18T,19T,14T,27T,20T,21T,24T,25T,26T,79T,46T,72T,29T,30T,31T,32T,33T,34T,71T,77T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,44T,62T,63T,80T
2018_01_01,17.0,,,21.0,30.0,,27.0,31.0,15,,31.0,,,25.0,,35.0,,,17.0,,23.0,26.0,16.0,,,16.0,,21.0,,,,24.0,27.0,20.0,,,,16.0,,,,,,10.0,,,,25.0,,10.0,11.0,18,10.0
2018_01_02,25.0,,,26.0,33.0,,30.0,37.0,17,,33.0,,,33.0,,45.0,,,21.0,,35.0,31.0,20.0,,,20.0,,27.0,,,,29.0,28.0,,,,,17.0,,,,,,15.0,,,,28.0,,15.0,13.0,19,13.0
2018_01_03,34.0,,,38.0,42.0,,40.0,50.0,22,,40.0,,,38.0,,60.0,,,35.0,,42.0,36.0,23.0,,,29.0,,34.0,,,,32.0,28.0,16.0,,,,19.0,,,,,,18.0,,,,29.0,,10.0,16.0,18,11.0
2018_01_04,41.0,,,39.0,45.0,,45.0,53.0,24,,51.0,,,55.0,,79.0,,,36.0,,49.0,44.0,20.0,,,37.0,,45.0,,,,44.0,30.0,21.0,,,,20.0,,,,,,20.0,,,,32.0,,11.0,11.0,20,12.0
2018_01_05,42.0,,,51.0,53.0,,51.0,58.0,27,,59.0,,,56.0,,72.0,,,47.0,,48.0,47.0,36.0,,,55.0,,64.0,,,,49.0,23.0,22.0,,,,20.0,,,,,,20.0,,,,37.0,,14.0,17.0,22,12.0
2018_01_06,46.0,,,42.0,38.0,,48.0,52.0,25,,54.0,,,60.0,,49.0,,,61.0,,52.0,58.0,35.0,,,46.0,,68.0,,,,49.0,30.0,39.0,,,,22.0,,,,,,18.0,,,,40.0,,13.0,13.0,20,14.0
2018_01_07,8.0,,,26.0,42.0,,19.0,20.0,10,,15.0,,,18.0,,18.0,,,41.0,,16.0,37.0,31.0,,,17.0,,42.0,,,,24.0,31.0,40.0,,,,29.0,,,,,,22.0,,,,34.0,,10.0,9.0,15,12.0
2018_01_08,8.0,,,10.0,43.0,,16.0,16.0,10,,15.0,,,21.0,,10.0,,,34.0,,12.0,22.0,35.0,,,16.0,,27.0,,,,30.0,26.0,35.0,,,,45.0,,,,,,28.0,,,,32.0,,13.0,6.0,15,8.0
2018_01_09,8.0,,,22.0,14.0,,22.0,21.0,14,,19.0,,,17.0,,12.0,,,46.0,,22.0,35.0,30.0,,,23.0,,20.0,,,,40.0,24.0,24.0,,,,26.0,,,,,,20.0,,,,30.0,,9.0,6.0,19,9.0
2018_01_10,10.0,,,10.0,9.0,,17.0,21.0,8,,21.0,,,20.0,,26.0,,,29.0,,26.0,31.0,15.0,,,18.0,,,,,,34.0,22.0,23.0,,,,29.0,,,,,,19.0,,,,25.0,,8.0,10.0,18,8.0
