Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,46T,47T,72T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,35T,36T,37T,38T,39T,40T,41T,57T,73T,58T,67T,75T,68T,69T,70T,76T,42T,43T,44T,62T,63T,78T,80T
2019_01_01,,15.0,20.0,22.0,,23.0,29.0,25.0,22.0,28,27,31.0,28.0,,15.0,19.0,24,23.0,,21.0,31.0,18.0,,12.0,14.0,15.0,29.0,23.0,24.0,,11.0,,14.0,16.5,16.0,,19.0,16.0,15,,12.0,18.0,26,27.0,16.0,13.0,7.0,17.0,20.0,10.0,11.0,14.0,15,6.0,26.0,19.0,17.0,28.0,19.0,,8.5,19.0,27.0,,14
2019_01_02,,21.0,26.0,21.0,,23.0,30.0,25.0,25.0,30,30,30.0,34.0,,22.0,26.0,28,23.0,,26.0,35.0,19.0,,14.0,15.0,20.0,32.0,35.0,27.0,,15.0,,20.0,20.5,21.0,,21.0,17.0,19,,14.0,20.0,21,17.0,15.0,14.0,7.0,15.0,24.0,10.0,11.0,10.0,11,6.0,27.0,20.0,14.0,25.0,18.0,,12.0,19.0,28.0,,21
2019_01_03,,24.0,26.0,25.0,,24.0,37.0,29.0,28.0,34,33,35.0,35.0,,26.0,29.0,33,32.0,,37.0,48.0,22.0,,21.0,24.0,19.0,36.0,39.0,24.0,,17.0,,,22.0,25.0,,27.0,27.0,25,,13.0,23.0,21,16.0,15.0,12.0,7.0,15.0,35.0,13.0,14.0,6.0,11,8.0,30.0,13.0,13.0,39.0,24.0,,8.0,10.0,15.0,,16
2019_01_04,,27.0,32.0,29.0,,28.0,32.0,33.0,31.0,37,39,40.0,39.0,,30.0,30.0,39,33.0,,36.0,48.0,27.0,,24.0,34.0,21.0,53.0,45.0,30.0,,15.0,,28.0,29.5,31.0,,29.0,26.0,25,,19.0,24.0,20,16.0,16.0,13.0,9.0,14.0,34.0,14.0,11.0,4.0,14,8.0,30.0,18.0,15.0,34.0,16.0,,8.0,9.0,10.0,,10
2019_01_05,,33.0,37.0,36.0,,35.0,39.0,43.0,34.0,46,51,47.0,48.0,,38.0,38.0,43,45.0,,45.0,63.0,35.0,,37.0,41.0,31.0,55.0,48.0,38.0,,21.0,,41.0,39.0,42.0,,37.0,36.0,34,,26.0,27.0,22,16.0,17.0,15.0,10.0,17.0,49.0,15.0,12.0,4.0,17,8.0,28.0,21.0,16.0,29.0,7.0,,10.5,15.0,14.0,,13
2019_01_06,,62.0,61.0,60.0,,63.0,68.0,76.0,51.0,81,75,91.0,86.0,,63.0,62.0,59,75.0,,64.0,80.0,63.0,,47.0,47.0,36.0,66.0,52.0,35.0,,15.0,,51.0,46.0,42.0,,53.0,37.0,42,,34.0,44.0,21,18.0,17.0,24.0,13.0,22.0,47.0,,11.0,7.0,15,8.0,28.0,27.0,16.0,29.0,11.0,,9.0,12.0,13.0,,8
2019_01_07,,65.0,60.0,61.0,,56.0,68.0,69.0,58.0,74,71,83.0,80.0,,60.0,68.0,74,68.0,,65.0,76.0,57.0,,48.0,62.0,45.0,67.0,59.0,36.0,,16.0,,44.0,17.0,40.0,,57.0,50.0,58,,39.0,49.0,27,22.0,26.0,19.0,16.0,22.0,39.0,5.0,17.0,9.0,15,11.0,29.0,22.0,23.0,31.0,7.0,,10.0,16.0,17.0,,9
2019_01_08,,19.0,27.0,28.0,,23.0,23.0,38.0,16.0,23,28,34.0,32.0,,18.0,13.0,28,22.0,,30.0,12.0,50.0,,53.0,66.0,45.0,35.0,52.0,34.0,,21.0,,25.0,16.0,29.0,,28.0,28.0,26,,48.0,34.0,23,17.0,22.0,16.0,15.0,24.0,53.0,7.0,12.0,5.0,17,9.0,24.0,26.0,18.0,31.0,13.0,,9.5,17.0,17.0,,10
2019_01_09,,22.0,26.0,27.0,,24.0,30.0,,22.0,26,33,43.0,33.0,,20.0,14.0,24,32.0,,35.0,15.0,26.0,,27.0,96.0,32.0,28.0,39.0,38.0,,19.0,,,23.0,,,20.0,19.0,16,,43.0,24.0,18,15.0,14.0,13.0,15.0,17.0,35.0,,8.0,9.0,14,7.0,20.0,16.0,15.0,24.0,10.0,,9.5,18.0,18.0,,10
2019_01_10,,37.0,40.0,39.0,,35.0,45.0,56.0,47.0,44,46,49.0,46.0,,32.0,31.0,42,44.0,,52.0,36.0,45.0,,44.0,78.0,53.0,50.0,58.0,40.0,,19.0,,28.0,18.0,29.0,,36.0,30.0,32,,45.0,47.0,21,20.0,28.0,23.0,24.0,31.0,41.0,18.0,16.0,7.0,21,16.0,24.0,25.0,19.0,29.0,12.0,,10.0,16.0,19.0,,9
