Date,05T,59T,61T,50T,52T,53T,54T,08T,19T,27T,24T,26T,79T,46T,30T,32T,77T,35T,36T,40T,75T,76T,44T,62T,63T,80T
2017_01_01,33.0,21.0,28.0,,34.0,,,28.0,,27.0,17.0,24.0,,,17.0,21.0,18.0,30.0,,21.0,16.0,20.0,7.0,,,
2017_01_02,28.0,19.0,27.0,,32.0,,,26.0,,25.0,17.0,25.0,,,21.0,24.0,15.0,,,11.0,5.0,18.0,9.0,,,
2017_01_03,31.0,19.0,32.0,,34.0,,,28.0,,36.0,22.0,28.0,,,15.0,19.0,19.0,,13.0,12.0,4.0,21.0,6.0,,,
2017_01_04,37.0,21.0,34.0,,37.0,,,28.0,,49.0,32.0,35.0,,37.0,22.0,24.0,21.0,19.0,,10.0,2.0,18.0,5.0,,,
2017_01_05,45.0,29.0,40.0,,45.0,,,34.0,,48.0,34.0,39.0,,42.0,23.0,24.0,29.0,,,7.0,,12.0,7.0,,,
2017_01_06,43.0,27.0,38.0,,44.0,,,36.0,,38.0,31.0,31.0,,37.0,,34.0,20.0,,13.0,7.0,5.0,10.0,5.0,,,
2017_01_07,46.0,30.0,42.0,,52.0,,,41.0,,50.0,57.0,36.0,,50.0,,42.0,33.0,22.0,15.0,10.0,6.0,16.0,,,,
2017_01_08,43.0,35.0,43.0,,49.0,,,39.0,,51.0,59.0,40.0,,,,27.0,25.0,28.0,23.0,12.0,6.0,29.0,6.0,,,
2017_01_09,35.0,27.0,33.0,,39.0,,,30.0,,58.0,71.0,33.0,,,,20.0,30.0,28.0,,16.0,6.0,24.0,10.0,,,
2017_01_10,36.0,38.0,41.0,,51.0,,,45.0,,30.0,79.0,14.0,,,,,34.0,,20.0,12.0,5.0,17.0,12.0,,,
2017_01_11,25.0,17.0,24.0,,29.0,,,26.0,,17.0,70.0,10.0,,40.0,,20.0,18.0,,12.0,6.0,,12.0,10.0,,,
2017_01_12,19.0,17.0,22.0,,19.0,,,19.0,,8.0,47.0,9.0,,57.0,13.0,13.0,22.0,18.0,12.0,10.0,,12.0,12.0,,,
2017_01_13,29.0,20.0,30.0,,27.0,,,25.0,,13.0,59.0,12.0,,45.0,21.0,14.0,30.0,21.0,14.0,14.0,6.0,24.0,14.0,,,
2017_01_14,46.0,31.0,39.0,,44.0,,,39.0,,39.0,75.0,27.0,,36.0,28.0,,37.0,26.0,14.0,14.0,8.0,32.0,18.0,,,
2017_01_15,62.0,40.0,51.0,,54.0,,,60.0,,58.0,58.0,38.0,,,,40.0,33.0,27.0,18.0,17.0,8.0,33.0,14.0,,,
2017_01_16,43.0,28.0,38.0,,42.0,,,35.0,,51.0,46.0,49.0,,,28.0,20.0,26.0,32.0,19.0,18.0,9.0,31.0,12.0,,,
