station_id,station_name,label
05T,กทม.,0
59T,กทม.,0
61T,กทม.,0
50T,กทม.,0
53T,กทม.,0
52T,กทม.,0
54T,กทม.,0
08T,จ.สมุทรปราการ,37
19T,จ.สมุทรปราการ,37
24T,จ.สระบุรี,40
26T,จ.ราชบุรี,30
27T,จ.สมุทรสาคร,39
30T,จ.ระยอง,29
32T,จ.ชลบุรี,5
35T,จ.เชียงใหม่,51
36T,จ.เชียงใหม่,51
40T,จ.ลำปาง,32
44T,จ.สงขลา,35
46T,จ.ขอนแก่น,3
62T,จ.นราธิวาส,15
63T,จ.ยะลา,28
75T,จ.น่าน,16
76T,จ.ตาก,8
77T,จ.ปราจีนบุรี,21
79T,จ.กาญจนบุรี,1
80T,จ.สตูล,36
10T,กทม.,0
11T,กทม.,0
03T,กทม.,0
14T,จ.สมุทรสาคร,39
17T,จ.สมุทรปราการ,37
18T,จ.สมุทรปราการ,37
20T,จ.ปทุมธานี,18
21T,จ.พระนครศรีอยุธยา,22
25T,จ.สระบุรี,40
29T,จ.ระยอง,29
31T,จ.ระยอง,29
33T,จ.ชลบุรี,5
34T,จ.ชลบุรี,5
37T,จ.ลำปาง,32
38T,จ.ลำปาง,32
39T,จ.ลำปาง,32
41T,จ.นครสวรรค์,13
42T,จ.สุราษฏร์ธานี,43
57T,จ.เชียงราย,50
58T,จ.แม่ฮ่องสอน,55
67T,จ.น่าน,16
68T,จ.ลำพูน,33
69T,จ.แพร่,54
70T,จ.พะเยา,23
71T,จ.สระแก้ว,41
72T,จ.เลย,53
73T,จ.เชียงราย,50
02T,กทม.,0
12T,กทม.,0
13T,จ.นนทบุรี,14
16T,จ.สมุทรปราการ,37
22T,จ.นนทบุรี,14
28T,จ.ระยอง,29
43T,จ.ภูเก็ต,26
47T,จ.นครราชสีมา,11
60T,จ.ฉะเชิงเทรา,4
74T,จ.ระยอง,29
78T,จ.ยะลา,28
81T,จ.นครปฐม,9
82T,จ.หนองคาย,45
83T,จ.อุบลราชธานี,49
84T,จ.สมุทรสงคราม,38
85T,จ.สุพรรณบุรี,42
86T,จ.พิษณุโลก,25
87T,จ.ตราด,7
88T,จ.นครพนม,10
89T,จ.นครศรีธรรมราช,12
90T,จ.สกลนคร,34
91T,จ.อุดรธานี,46
92T,จ.อุตรดิตถ์,47
93T,จ.ตรัง,6
99T,จ.ลพบุรี,31
100T,จ.ประจวบคีรีขันธ์,20
101T,จ.บุรีรัมย์,17
102T,จ.มุกดาหาร,27
94T,จ.กำแพงเพชร,2
95T,จ.พิจิตร,24
96T,จ.สุโขทัย,44
97T,จ.เพชรบูรณ์,52
98T,จ.อุทัยธานี,48
103T,จ.ประจวบคิรีขันธ์,19
