Date,02T,05T,10T,11T,12T,59T,61T,03T,50T,52T,53T,54T,08T,16T,17T,18T,19T,13T,22T,14T,27T,20T,81T,21T,24T,25T,26T,79T,84T,85T,41T,46T,47T,72T,82T,83T,88T,90T,91T,28T,29T,30T,31T,74T,32T,33T,34T,60T,71T,77T,87T,35T,36T,37T,38T,39T,40T,57T,73T,58T,67T,75T,68T,69T,70T,76T,86T,92T,42T,44T,62T,63T,78T,89T,43T,80T,93T
2021_01_01,27.0,20,22.0,25,22.0,20,25.0,24.0,25.0,26,26.0,28.0,25.0,18.0,19,29,24.0,22.0,19.0,23.0,28.0,23.0,21.0,16.0,18.0,36.0,11.0,23.0,17.0,19.0,20.0,32.0,21,25.0,32.0,14.0,21.0,24.166666666666668,24.166666666666664,16,14.0,16,15,18.0,18.0,17.0,16.0,15.0,10.0,22.0,16.0,32.0,24.0,25.0,20.0,20.0,27.0,19.0,24.0,33.0,27.0,22.0,17.0,30,27.0,27.0,38.0,25.75,19.0,20,18,17,7.0,17.0,23.0,18.0,20.5
2021_01_02,32.0,25,26.0,27,27.0,23,26.0,29.0,31.0,32,33.0,33.0,31.0,25.0,25,35,28.0,27.0,21.0,28.0,34.0,24.0,30.0,21.0,22.0,37.0,12.0,28.0,21.0,26.0,27.0,39.0,25,30.0,57.0,24.0,25.0,33.333333333333336,33.333333333333336,18,16.0,18,17,19.0,21.0,20.0,22.0,19.0,14.0,25.0,17.0,30.0,26.0,43.0,37.0,24.0,32.0,23.0,28.0,29.0,33.0,25.0,26.0,31,37.0,25.0,44.0,30.8125,19.0,16,15,19,8.0,17.0,24.0,13.0,18.5
2021_01_03,46.0,37,33.0,41,40.0,38,29.0,44.0,44.0,44,48.0,47.0,44.0,40.0,35,53,38.0,37.0,32.0,40.0,47.0,34.0,45.0,30.0,28.0,50.0,14.0,40.0,36.0,41.0,38.0,54.0,36,30.0,73.0,23.0,24.0,40.0,40.0,29,30.0,27,29,31.0,29.0,27.0,31.0,28.0,17.0,34.0,21.0,36.0,34.0,53.0,33.0,28.0,37.0,29.0,31.0,28.0,37.0,25.0,28.0,37,49.0,33.0,57.0,35.9375,22.0,15,15,18,6.0,15.0,27.0,12.0,19.5
2021_01_04,39.0,31,32.0,36,38.0,36,28.0,46.0,41.0,37,49.0,55.0,37.0,34.0,31,45,26.0,32.0,26.0,43.0,49.0,30.0,38.0,21.0,24.0,41.0,15.0,33.0,34.0,35.0,35.0,32.0,25,28.0,47.0,15.0,28.0,29.166666666666668,29.166666666666664,24,28.0,25,25,30.0,22.0,19.0,25.0,23.0,9.0,24.0,19.0,41.0,40.0,46.0,30.0,26.0,34.0,33.0,34.0,34.0,38.0,26.0,31.0,35,46.0,38.0,61.0,37.0625,23.0,12,12,12,3.0,17.0,27.0,9.0,18.0
2021_01_05,50.0,31,31.0,32,44.0,28,24.0,67.0,41.0,48,35.0,42.0,52.0,46.0,33,68,32.0,33.0,31.0,49.0,61.0,33.0,37.0,27.0,29.0,42.0,14.0,35.0,32.0,34.0,37.0,44.0,42,25.0,48.0,34.0,28.0,36.833333333333336,36.83333333333333,26,24.0,30,23,28.0,25.0,24.0,28.0,28.0,19.0,28.0,19.0,40.0,45.0,46.0,27.0,35.0,34.0,38.0,41.0,30.0,33.0,23.0,25.0,32,46.0,51.0,51.0,37.3125,19.0,14,8,13,3.0,14.0,27.0,11.0,19.0
2021_01_06,57.0,32,36.0,36,39.0,32,25.0,85.0,36.0,53,38.0,47.0,42.0,40.0,32,53,41.0,37.0,39.0,65.0,84.0,42.0,51.0,28.0,30.0,43.0,20.0,33.0,39.0,35.0,36.0,35.0,30,21.0,31.0,10.0,19.0,24.333333333333332,24.333333333333336,29,30.0,31,30,34.0,27.0,28.0,31.0,26.0,22.0,29.0,22.0,36.0,30.0,46.0,24.0,33.0,33.0,40.0,39.0,29.0,29.0,24.0,28.0,31,49.0,46.0,53.0,35.625,17.0,11,15,11,2.0,9.0,18.0,6.0,12.0
2021_01_07,37.0,26,30.0,30,31.0,25,23.0,62.0,32.0,36,31.0,38.0,31.0,29.0,31,40,32.0,28.0,25.0,66.0,83.0,37.0,52.0,23.0,34.0,53.0,17.0,34.0,34.0,32.0,30.0,36.0,31,19.0,27.0,18.0,24.0,25.833333333333332,25.833333333333336,35,30.0,33,31,33.0,25.0,27.0,24.0,23.0,20.0,26.0,14.0,32.0,28.0,47.0,28.0,30.0,31.0,38.0,39.0,24.0,30.0,23.0,27.0,30,41.0,60.0,45.0,34.5625,12.0,11,13,11,3.0,11.0,17.0,8.0,12.5
2021_01_08,26.0,21,24.0,23,24.0,21,20.0,26.0,25.0,22,25.0,30.0,23.0,22.0,19,33,28.0,19.0,19.0,29.0,25.0,27.0,30.0,23.0,26.0,45.0,16.0,33.0,19.0,27.0,19.0,17.0,18,16.0,33.0,8.0,7.0,16.5,16.5,20,23.0,23,21,24.0,18.0,16.0,19.0,20.0,10.0,22.0,10.0,37.0,32.0,39.0,25.0,24.0,28.0,35.0,35.0,21.0,29.0,18.0,22.0,27,31.0,42.0,24.0,29.3125,14.0,12,20,15,3.0,15.0,17.0,9.0,13.0
2021_01_09,23.0,19,13.0,20,22.0,18,18.0,19.0,20.0,21,24.0,24.0,20.0,18.0,13,31,23.0,18.0,20.0,27.0,37.0,23.0,23.0,17.0,17.0,39.0,11.0,20.0,19.0,20.0,18.0,25.0,17,11.0,28.0,7.0,9.0,16.166666666666668,16.166666666666668,17,20.0,17,17,20.0,16.0,19.0,16.0,11.0,9.0,18.0,11.0,36.0,29.0,34.0,22.0,18.0,23.0,23.0,27.0,23.0,21.0,17.0,20.0,20,22.0,30.0,24.0,24.3125,17.0,13,17,15,5.0,22.0,23.0,10.0,16.5
2021_01_10,30.0,27,20.0,25,26.0,25,22.0,35.0,27.0,29,31.0,33.0,29.0,23.0,21,37,33.0,27.0,24.0,35.0,53.0,37.0,44.0,22.0,22.0,47.0,14.0,32.0,34.0,28.0,27.0,25.0,22,13.0,23.0,11.0,13.0,17.833333333333332,17.833333333333332,22,25.0,26,22,27.0,26.0,21.0,21.0,22.0,14.0,25.0,14.0,35.0,36.0,37.0,32.0,30.0,31.0,34.0,26.0,25.0,26.0,20.0,20.0,29,30.0,44.0,33.0,30.5,18.0,16,16,16,5.0,18.0,24.0,11.0,17.5
2021_01_11,35.0,27,20.0,31,29.0,28,23.0,37.0,32.0,32,32.0,36.0,29.0,25.0,22,36,31.0,30.0,24.0,35.0,49.0,31.0,41.0,20.0,23.0,43.0,17.0,32.0,36.0,25.0,25.0,29.0,23,18.0,33.0,16.0,27.0,24.333333333333332,24.333333333333336,25,29.0,27,25,29.0,20.0,25.0,23.0,22.0,11.0,28.0,18.0,40.0,45.0,38.0,31.0,29.0,33.0,24.0,24.0,31.0,27.0,16.0,22.0,27,34.0,46.0,31.0,31.125,18.0,14,20,17,6.0,19.0,24.0,12.0,18.0
2021_01_12,33.0,26,19.0,29,28.0,26,22.0,36.0,31.0,31,33.0,30.0,29.0,24.0,24,36,30.0,28.0,24.0,32.0,38.0,27.0,28.0,26.0,34.0,74.0,14.0,24.0,27.0,30.0,30.0,46.0,35,25.0,42.0,24.0,32.0,34.0,34.0,19,15.0,17,14,17.0,24.0,26.0,24.0,22.0,17.0,30.0,17.0,25.0,24.0,28.0,20.0,33.0,23.0,12.0,13.0,30.0,22.0,16.0,13.0,25,17.0,32.0,30.0,22.6875,22.0,14,17,16,8.0,15.0,26.0,13.0,19.5
